sa3_name_2016,year,median_income
Carlingford,2015-16,46490
Merrylands - Guildford,2015-16,42692
Parramatta,2015-16,49977
Pennant Hills - Epping,2015-16,51872
Ryde - Hunters Hill,2015-16,51708
Bringelly - Green Valley,2015-16,49146
Fairfield,2015-16,42668
Liverpool,2015-16,49209
Cronulla - Miranda - Caringbah,2015-16,54479
Sutherland - Menai - Heathcote,2015-16,54998
Migratory - Offshore - Shipping (NSW),2015-16,NA
No usual address (NSW),2015-16,NA
Ballarat,2015-16,45198
Creswick - Daylesford - Ballan,2015-16,40932
Maryborough - Pyrenees,2015-16,36413
Bendigo,2015-16,44468
Heathcote - Castlemaine - Kyneton,2015-16,42100
Loddon - Elmore,2015-16,35417
Barwon - West,2015-16,45012
Geelong,2015-16,45556
Surf Coast - Bellarine Peninsula,2015-16,43979
Upper Goulburn Valley,2015-16,39513
Wangaratta - Benalla,2015-16,41113
Wodonga - Alpine,2015-16,44090
Baw Baw,2015-16,42018
Gippsland - East,2015-16,37000
Gippsland - South West,2015-16,36250
Latrobe Valley,2015-16,46487
Wellington,2015-16,41801
Brunswick - Coburg,2015-16,51331
Darebin - South,2015-16,54847
Essendon,2015-16,55927
Melbourne City,2015-16,47340
Port Phillip,2015-16,60298
Stonnington - West,2015-16,60362
Yarra,2015-16,59232
Boroondara,2015-16,57307
Manningham - West,2015-16,43417
Whitehorse - West,2015-16,45294
Bayside,2015-16,58913
Glen Eira,2015-16,53056
Kingston,2015-16,51315
Stonnington - East,2015-16,60841
Banyule,2015-16,51515
Darebin - North,2015-16,45447
Nillumbik - Kinglake,2015-16,51847
Whittlesea - Wallan,2015-16,46814
Keilor,2015-16,50895
Macedon Ranges,2015-16,50584
Moreland - North,2015-16,46270
Sunbury,2015-16,50319
Tullamarine - Broadmeadows,2015-16,44060
Knox,2015-16,47264
Manningham - East,2015-16,51063
Maroondah,2015-16,48401
Whitehorse - East,2015-16,46442
Yarra Ranges,2015-16,46407
Cardinia,2015-16,47309
Casey - North,2015-16,46323
Casey - South,2015-16,47011
Dandenong,2015-16,40471
Monash,2015-16,44498
Brimbank,2015-16,42740
Hobsons Bay,2015-16,54352
Maribyrnong,2015-16,49523
Melton - Bacchus Marsh,2015-16,49483
Wyndham,2015-16,48563
Frankston,2015-16,47259
Mornington Peninsula,2015-16,43224
Grampians,2015-16,38463
Mildura,2015-16,41100
Murray River - Swan Hill,2015-16,37477
Campaspe,2015-16,39741
Moira,2015-16,38283
Shepparton,2015-16,41845
Glenelg - Southern Grampians,2015-16,40727
Colac - Corangamite,2015-16,38916
Warrnambool,2015-16,42487
Migratory - Offshore - Shipping (Vic.),2015-16,NA
No usual address (Vic.),2015-16,NA
Capalaba,2015-16,50266
Cleveland - Stradbroke,2015-16,48653
Wynnum - Manly,2015-16,53663
Bald Hills - Everton Park,2015-16,53145
Chermside,2015-16,53716
Nundah,2015-16,53222
Sandgate,2015-16,50284
Carindale,2015-16,55502
Holland Park - Yeronga,2015-16,53645
Mt Gravatt,2015-16,45529
Nathan,2015-16,48887
Rocklea - Acacia Ridge,2015-16,46106
Sunnybank,2015-16,37010
Centenary,2015-16,53704
Kenmore - Brookfield - Moggill,2015-16,56149
Sherwood - Indooroopilly,2015-16,52011
The Gap - Enoggera,2015-16,55242
Brisbane Inner,2015-16,48836
Brisbane Inner - East,2015-16,61017
Brisbane Inner - North,2015-16,58126
Brisbane Inner - West,2015-16,57998
Cairns - North,2015-16,49554
Cairns - South,2015-16,44512
Innisfail - Cassowary Coast,2015-16,38452
Port Douglas - Daintree,2015-16,37869
Tablelands (East) - Kuranda,2015-16,37249
Darling Downs (West) - Maranoa,2015-16,43798
Darling Downs - East,2015-16,43206
Granite Belt,2015-16,36349
Central Highlands (Qld),2015-16,55076
Rockhampton,2015-16,49378
Biloela,2015-16,48993
Gladstone,2015-16,57890
Broadbeach - Burleigh,2015-16,44121
Coolangatta,2015-16,43207
Gold Coast - North,2015-16,42441
Gold Coast Hinterland,2015-16,42356
Mudgeeraba - Tallebudgera,2015-16,45097
Nerang,2015-16,44731
Ormeau - Oxenford,2015-16,47889
Robina,2015-16,43361
Southport,2015-16,41188
Surfers Paradise,2015-16,39233
Forest Lake - Oxley,2015-16,45945
Ipswich Hinterland,2015-16,42926
Ipswich Inner,2015-16,48805
Springfield - Redbank,2015-16,49531
Beaudesert,2015-16,40747
Beenleigh,2015-16,45164
Browns Plains,2015-16,46323
Jimboomba,2015-16,50182
Loganlea - Carbrook,2015-16,48246
Springwood - Kingston,2015-16,45281
Bowen Basin - North,2015-16,53833
Mackay,2015-16,52746
Whitsunday,2015-16,42884
Bribie - Beachmere,2015-16,38379
Caboolture,2015-16,41992
Caboolture Hinterland,2015-16,41289
Narangba - Burpengary,2015-16,46997
Redcliffe,2015-16,45751
The Hills District,2015-16,54548
North Lakes,2015-16,50619
Strathpine,2015-16,47512
Far North,2015-16,41598
Outback - North,2015-16,60326
Outback - South,2015-16,43728
Buderim,2015-16,43053
Caloundra,2015-16,42169
Maroochy,2015-16,41668
Noosa,2015-16,38903
Sunshine Coast Hinterland,2015-16,38689
Nambour,2015-16,41468
Noosa Hinterland,2015-16,37224
Toowoomba,2015-16,45929
Charters Towers - Ayr - Ingham,2015-16,43726
Townsville,2015-16,52124
Bundaberg,2015-16,39399
Burnett,2015-16,35963
Gympie - Cooloola,2015-16,36640
Hervey Bay,2015-16,38358
Maryborough,2015-16,39008
Migratory - Offshore - Shipping (Qld),2015-16,NA
No usual address (Qld),2015-16,NA
Adelaide City,2015-16,48851
Adelaide Hills,2015-16,47644
Burnside,2015-16,55059
Campbelltown (SA),2015-16,45529
Norwood - Payneham - St Peters,2015-16,50600
Prospect - Walkerville,2015-16,53999
Unley,2015-16,55449
Gawler - Two Wells,2015-16,46897
Playford,2015-16,43795
Port Adelaide - East,2015-16,45182
Salisbury,2015-16,44916
Tea Tree Gully,2015-16,48263
Holdfast Bay,2015-16,51226
Marion,2015-16,47553
Mitcham,2015-16,51143
Onkaparinga,2015-16,45272
Charles Sturt,2015-16,47822
Port Adelaide - West,2015-16,46792
West Torrens,2015-16,46486
Barossa,2015-16,44933
Lower North,2015-16,40343
Mid North,2015-16,42879
Yorke Peninsula,2015-16,37584
Eyre Peninsula and South West,2015-16,46482
Outback - North and East,2015-16,52189
Fleurieu - Kangaroo Island,2015-16,35871
Limestone Coast,2015-16,43418
Murray and Mallee,2015-16,38574
Migratory - Offshore - Shipping (SA),2015-16,NA
No usual address (SA),2015-16,NA
Augusta - Margaret River - Busselton,2015-16,41425
Bunbury,2015-16,50303
Manjimup,2015-16,39513
Mandurah,2015-16,47398
Cottesloe - Claremont,2015-16,66146
Perth City,2015-16,58897
Bayswater - Bassendean,2015-16,52358
Mundaring,2015-16,51395
Swan,2015-16,53002
Joondalup,2015-16,54093
Stirling,2015-16,53691
Wanneroo,2015-16,51656
Armadale,2015-16,52567
Belmont - Victoria Park,2015-16,52286
Canning,2015-16,46429
Gosnells,2015-16,49299
Kalamunda,2015-16,54026
Serpentine - Jarrahdale,2015-16,55248
South Perth,2015-16,58267
Cockburn,2015-16,55428
Fremantle,2015-16,56172
Kwinana,2015-16,54068
Melville,2015-16,53775
Rockingham,2015-16,54561
Albany,2015-16,41992
Wheat Belt - North,2015-16,45736
Wheat Belt - South,2015-16,47663
Kimberley,2015-16,53742
East Pilbara,2015-16,80990
West Pilbara,2015-16,85571
Esperance,2015-16,46861
Gascoyne,2015-16,46210
Goldfields,2015-16,65587
Mid West,2015-16,49098
Migratory - Offshore - Shipping (WA),2015-16,NA
No usual address (WA),2015-16,NA
Brighton,2015-16,45440
Hobart - North East,2015-16,47275
Hobart - North West,2015-16,44385
Hobart - South and West,2015-16,48214
Hobart Inner,2015-16,48248
Sorell - Dodges Ferry,2015-16,43923
Launceston,2015-16,44777
Meander Valley - West Tamar,2015-16,39387
North East,2015-16,39617
Central Highlands (Tas.),2015-16,40088
Huon - Bruny Island,2015-16,38124
South East Coast,2015-16,32488
Burnie - Ulverstone,2015-16,42929
Devonport,2015-16,41393
West Coast,2015-16,42077
Migratory - Offshore - Shipping (Tas.),2015-16,NA
No usual address (Tas.),2015-16,NA
Darwin City,2015-16,62291
Darwin Suburbs,2015-16,59556
Litchfield,2015-16,62049
Palmerston,2015-16,66171
Alice Springs,2015-16,57023
Barkly,2015-16,50034
Daly - Tiwi - West Arnhem,2015-16,43658
East Arnhem,2015-16,58611
Katherine,2015-16,50737
Migratory - Offshore - Shipping (NT),2015-16,NA
No usual address (NT),2015-16,NA
Belconnen,2015-16,58861
Canberra East,2015-16,47122
Gungahlin,2015-16,63906
North Canberra,2015-16,63962
South Canberra,2015-16,78357
Tuggeranong,2015-16,61203
Weston Creek,2015-16,63190
Woden Valley,2015-16,64254
Molonglo,2015-16,74863
Urriarra - Namadgi,2015-16,62091
Migratory - Offshore - Shipping (ACT),2015-16,NA
No usual address (ACT),2015-16,NA
Christmas Island,2015-16,74249
Cocos (Keeling) Islands,2015-16,82595
Jervis Bay,2015-16,51777
Norfolk Island,2015-16,11368
Migratory - Offshore - Shipping (OT),2015-16,NA
No usual address (OT),2015-16,NA
