LOCALITY_PID_NOV2019,LOCALITY_NAME_NOV2019,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,89399,Unincorporated ACT,1,Good,Good,0
ACT102,DICKSON,89399,Unincorporated ACT,1,Good,Good,0
ACT103,O'CONNOR,89399,Unincorporated ACT,1,Good,Good,0
ACT104,AINSLIE,89399,Unincorporated ACT,1,Good,Good,0
ACT105,TURNER,89399,Unincorporated ACT,1,Good,Good,0
ACT106,BRADDON,89399,Unincorporated ACT,1,Good,Good,0
ACT107,ACTON,89399,Unincorporated ACT,1,Good,Good,0
ACT108,CITY,89399,Unincorporated ACT,1,Good,Good,0
ACT109,REID,89399,Unincorporated ACT,1,Good,Good,0
ACT110,CAMPBELL,89399,Unincorporated ACT,1,Good,Good,0
ACT122,RUSSELL,89399,Unincorporated ACT,1,Good,Good,0
ACT124,DOWNER,89399,Unincorporated ACT,1,Good,Good,0
ACT125,WATSON,89399,Unincorporated ACT,1,Good,Good,0
ACT126,HACKETT,89399,Unincorporated ACT,1,Good,Good,0
ACT211,PARKES,89399,Unincorporated ACT,1,Good,Good,0
ACT212,YARRALUMLA,89399,Unincorporated ACT,1,Good,Good,0
ACT213,CAPITAL HILL,89399,Unincorporated ACT,1,Good,Good,0
ACT214,BARTON,89399,Unincorporated ACT,1,Good,Good,0
ACT215,DEAKIN,89399,Unincorporated ACT,1,Good,Good,0
ACT216,FORREST,89399,Unincorporated ACT,1,Good,Good,0
ACT217,KINGSTON,89399,Unincorporated ACT,1,Good,Good,0
ACT218,NARRABUNDAH,89399,Unincorporated ACT,1,Good,Good,0
ACT219,FYSHWICK,89399,Unincorporated ACT,1,Good,Good,0
ACT220,GRIFFITH,89399,Unincorporated ACT,1,Good,Good,0
ACT221,RED HILL,89399,Unincorporated ACT,1,Good,Good,0
ACT251,PIALLIGO,89399,Unincorporated ACT,1,Good,Good,0
ACT327,HUGHES,89399,Unincorporated ACT,1,Good,Good,0
ACT328,CURTIN,89399,Unincorporated ACT,1,Good,Good,0
ACT329,LYONS,89399,Unincorporated ACT,1,Good,Good,0
ACT330,GARRAN,89399,Unincorporated ACT,1,Good,Good,0
ACT331,PEARCE,89399,Unincorporated ACT,1,Good,Good,0
ACT332,TORRENS,89399,Unincorporated ACT,1,Good,Good,0
ACT333,MAWSON,89399,Unincorporated ACT,1,Good,Good,0
ACT334,FARRER,89399,Unincorporated ACT,1,Good,Good,0
ACT335,O'MALLEY,89399,Unincorporated ACT,1,Good,Good,0
ACT336,ISAACS,89399,Unincorporated ACT,1,Good,Good,0
