SA3_CODE_2016,SA3_NAME_2016,SA3_CODE_2021,SA3_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102,Queanbeyan,10102,Queanbeyan,1,Good,Good,0
10103,Snowy Mountains,10103,Snowy Mountains,1,Good,Good,0
10104,South Coast,10104,South Coast,1,Good,Good,0
10105,Goulburn - Mulwaree,10105,Goulburn - Mulwaree,1,Good,Good,0
10106,Young - Yass,10106,Young - Yass,1,Good,Good,0
10201,Gosford,10201,Gosford,1,Good,Good,0
10202,Wyong,10202,Wyong,1,Good,Good,0
10301,Bathurst,10301,Bathurst,1,Good,Good,0
10302,Lachlan Valley,10302,Lachlan Valley,1,Good,Good,0
10303,Lithgow - Mudgee,10303,Lithgow - Mudgee,1,Good,Good,0
10304,Orange,10304,Orange,1,Good,Good,0
10401,Clarence Valley,10401,Clarence Valley,1,Good,Good,0
10402,Coffs Harbour,10402,Coffs Harbour,1,Good,Good,0
10501,Bourke - Cobar - Coonamble,10501,Bourke - Cobar - Coonamble,1,Good,Good,0
10502,Broken Hill and Far West,10502,Broken Hill and Far West,1,Good,Good,0
10503,Dubbo,10503,Dubbo,1,Good,Good,0
10601,Lower Hunter,10601,Lower Hunter,1,Good,Good,0
10602,Maitland,10602,Maitland,1,Good,Good,0
10603,Port Stephens,10603,Port Stephens,1,Good,Good,0
10604,Upper Hunter,10604,Upper Hunter,1,Good,Good,0
10701,Dapto - Port Kembla,10701,Dapto - Port Kembla,1,Good,Good,0
10702,Illawarra Catchment Reserve,10702,Illawarra Catchment Reserve,1,Good,Good,0
10703,Kiama - Shellharbour,10703,Kiama - Shellharbour,1,Good,Good,0
10704,Wollongong,10704,Wollongong,1,Good,Good,0
10801,Great Lakes,10801,Great Lakes,1,Good,Good,0
10802,Kempsey - Nambucca,10802,Kempsey - Nambucca,1,Good,Good,0
10803,Lord Howe Island,10803,Lord Howe Island,1,Good,Good,0
10804,Port Macquarie,10804,Port Macquarie,1,Good,Good,0
10805,Taree - Gloucester,10805,Taree - Gloucester,1,Good,Good,0
10901,Albury,10901,Albury,1,Good,Good,0
10902,Lower Murray,10902,Lower Murray,1,Good,Good,0
10903,Upper Murray exc. Albury,10903,Upper Murray exc. Albury,1,Good,Good,0
11001,Armidale,11001,Armidale,1,Good,Good,0
11002,Inverell - Tenterfield,11002,Inverell - Tenterfield,1,Good,Good,0
11003,Moree - Narrabri,11003,Moree - Narrabri,1,Good,Good,0
11004,Tamworth - Gunnedah,11004,Tamworth - Gunnedah,1,Good,Good,0
11101,Lake Macquarie - East,11101,Lake Macquarie - East,1,Good,Good,0
11102,Lake Macquarie - West,11102,Lake Macquarie - West,1,Good,Good,0
11103,Newcastle,11103,Newcastle,1,Good,Good,0
11201,Richmond Valley - Coastal,11201,Richmond Valley - Coastal,1,Good,Good,0
11202,Richmond Valley - Hinterland,11202,Richmond Valley - Hinterland,1,Good,Good,0
11203,Tweed Valley,11203,Tweed Valley,1,Good,Good,0
11301,Griffith - Murrumbidgee (West),11301,Griffith - Murrumbidgee (West),1,Good,Good,0
11302,Tumut - Tumbarumba,11302,Tumut - Tumbarumba,1,Good,Good,0
11303,Wagga Wagga,11303,Wagga Wagga,1,Good,Good,0
11401,Shoalhaven,11401,Shoalhaven,1,Good,Good,0
11402,Southern Highlands,11402,Southern Highlands,1,Good,Good,0
11501,Baulkham Hills,11501,Baulkham Hills,1,Good,Good,0
11502,Dural - Wisemans Ferry,11502,Dural - Wisemans Ferry,1,Good,Good,0
11503,Hawkesbury,11503,Hawkesbury,1,Good,Good,0
11504,Rouse Hill - McGraths Hill,11504,Rouse Hill - McGraths Hill,1,Good,Good,0
11601,Blacktown,11601,Blacktown,0.9999552,Good,Good,0
11601,Blacktown,12503,Merrylands - Guildford,4.48E-05,Good,Good,1
11602,Blacktown - North,11602,Blacktown - North,1,Good,Good,0
11603,Mount Druitt,11603,Mount Druitt,1,Good,Good,0
11701,Botany,11701,Botany,1,Good,Good,0
11702,Marrickville - Sydenham - Petersham,11702,Marrickville - Sydenham - Petersham,1,Good,Good,0
11703,Sydney Inner City,11703,Sydney Inner City,1,Good,Good,0
11801,Eastern Suburbs - North,11801,Eastern Suburbs - North,1,Good,Good,0
11802,Eastern Suburbs - South,11802,Eastern Suburbs - South,1,Good,Good,0
11901,Bankstown,11901,Bankstown,1,Good,Good,0
11902,Canterbury,11902,Canterbury,1,Good,Good,0
11903,Hurstville,11903,Hurstville,1,Good,Good,0
11904,Kogarah - Rockdale,11904,Kogarah - Rockdale,1,Good,Good,0
12001,Canada Bay,12001,Canada Bay,1,Good,Good,0
