SSC_CODE_2016,SSC_NAME_2016,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10083,Arkstone,16100,Oberon (A),1,Good,Good,0
10084,Armatree,12950,Gilgandra (A),1,Good,Good,0
10085,Armidale,10130,Armidale Regional (A),1,Good,Good,0
10086,Arncliffe,10500,Bayside (A),1,Good,Good,0
10087,Arndell Park,10750,Blacktown (C),1,Good,Good,0
10088,Arrawarra,11800,Coffs Harbour (C),1,Good,Good,0
10089,Arrawarra Headland,11800,Coffs Harbour (C),1,Good,Good,0
10090,Artarmon,18250,Willoughby (C),1,Good,Good,0
10091,Arthurville,12390,Dubbo Regional (A),1,Good,Good,0
10092,Arumpo,10300,Balranald (A),0.2432438,Good,Good,0
10092,Arumpo,18200,Wentworth (A),0.7567562,Good,Good,0
10093,Ashbury,11570,Canterbury-Bankstown (A),0.9625378,Good,Good,0
10093,Ashbury,14170,Inner West (A),0.0374622,Good,Good,0
10094,Ashby (NSW),11730,Clarence Valley (A),1,Good,Good,0
10095,Ashby Heights,11730,Clarence Valley (A),1,Good,Good,0
10096,Ashby Island,11730,Clarence Valley (A),1,Good,Good,0
10097,Ashcroft,14900,Liverpool (C),1,Good,Good,0
10098,Ashfield (NSW),14170,Inner West (A),1,Good,Good,0
10099,Ashford (NSW),14200,Inverell (A),1,Good,Good,0
10100,Ashley,15300,Moree Plains (A),1,Good,Good,0
10101,Ashmont,17750,Wagga Wagga (C),1,Good,Good,0
10102,Ashtonfield,15050,Maitland (C),1,Good,Good,0
10103,Asquith,14000,Hornsby (A),1,Acceptable,Good,0
10104,Atholwood,14200,Inverell (A),1,Good,Good,0
10105,Attunga,17310,Tamworth Regional (A),1,Good,Good,0
10106,Auburn (NSW),12380,Cumberland (A),1,Good,Good,0
10107,Auburn Vale,14200,Inverell (A),1,Good,Good,0
10108,Austinmer,18450,Wollongong (C),1,Good,Good,0
10109,Austral,14900,Liverpool (C),1,Good,Good,0
10110,Austral Eden,14350,Kempsey (A),1,Good,Good,0
10111,Avalon Beach,15990,Northern Beaches (A),1,Good,Good,0
10112,Avisford,15270,Mid-Western Regional (A),1,Good,Good,0
10113,Avoca (NSW),18350,Wingecarribee (A),1,Good,Good,0
10114,Avoca Beach,11650,Central Coast (C) (NSW),1,Good,Good,0
10115,Avon (NSW),18350,Wingecarribee (A),0.6,Good,Good,0
10115,Avon (NSW),18450,Wollongong (C),0.4,Good,Good,0
10116,Avondale (NSW),18450,Wollongong (C),1,Good,Good,0
10117,Avonside,17040,Snowy Monaro Regional (A),1,Good,Good,0
10118,Awaba,14650,Lake Macquarie (C),1,Good,Good,0
10119,Aylmerton,18350,Wingecarribee (A),1,Good,Good,0
10120,Baan Baa,15750,Narrabri (A),1,Good,Good,0
10121,Babinda (NSW),10950,Bogan (A),1,Good,Good,0
10122,Babyl Creek,14550,Kyogle (A),1,Good,Good,0
10123,Back Creek (Bland - NSW),10800,Bland (A),1,Good,Good,0
10124,Back Creek (Gwydir - NSW),13660,Gwydir (A),1,Good,Good,0
10125,Back Creek (Mid-Coast - NSW),15240,Mid-Coast (A),1,Good,Good,0
10126,Back Creek (Queanbeyan-Palerang Regional - NSW),16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
10127,Back Creek (Tenterfield - NSW),17400,Tenterfield (A),1,Good,Good,0
10128,Back Creek (Tweed - NSW),17550,Tweed (A),1,Good,Good,0
10129,Back Forest,16950,Shoalhaven (C),1,Good,Good,0
10130,Backmede,16610,Richmond Valley (A),1,Good,Good,0
10131,Backwater,10130,Armidale Regional (A),1,Good,Good,0
10132,Badgerys Creek,14900,Liverpool (C),0.9251101,Good,Good,0
10132,Badgerys Creek,16350,Penrith (C),0.0748899,Good,Good,0
10133,Badja,17040,Snowy Monaro Regional (A),1,Good,Good,0
10134,Baerami,15650,Muswellbrook (A),1,Good,Good,0
10135,Baerami Creek,15650,Muswellbrook (A),1,Good,Good,0
10136,Bagnoo,16380,Port Macquarie-Hastings (A),1,Good,Good,0
10137,Bago,16380,Port Macquarie-Hastings (A),1,Good,Good,0
10138,Bagotville,10250,Ballina (A),1,Good,Good,0
10139,Bakers Creek (Mid-Coast - NSW),15240,Mid-Coast (A),1,Good,Good,0
10140,Bakers Creek (Nambucca - NSW),15700,Nambucca (A),1,Good,Good,0
10141,Bakers Creek (Uralla - NSW),17650,Uralla (A),1,Good,Good,0
10142,Bakers Swamp,12390,Dubbo Regional (A),1,Good,Good,0
10143,Balaclava (NSW),18350,Wingecarribee (A),1,Good,Good,0
10144,Balala,17650,Uralla (A),1,Good,Good,0
10145,Balcolyn,14650,Lake Macquarie (C),1,Good,Good,0
10146,Bald Blair,10130,Armidale Regional (A),1,Good,Good,0
10147,Bald Hills (NSW),10550,Bega Valley (A),1,Good,Good,0
10148,Bald Nob,13010,Glen Innes Severn (A),1,Good,Good,0
10149,Bald Ridge,10470,Bathurst Regional (A),2.5e-06,Good,Good,1
10149,Bald Ridge,16100,Oberon (A),0.9999975,Good,Good,0
10150,Baldersleigh,10130,Armidale Regional (A),1,Good,Good,0
10151,Baldry,11400,Cabonne (A),1,Good,Good,0
10152,Balfours Peak,13660,Gwydir (A),1,Good,Good,0
10153,Balgowlah,15990,Northern Beaches (A),1,Good,Good,0
10154,Balgowlah Heights,15990,Northern Beaches (A),1,Good,Good,0
10155,Balgownie,18450,Wollongong (C),1,Good,Good,0
10156,Balickera,16400,Port Stephens (A),1,Good,Good,0
10157,Balladoran,12950,Gilgandra (A),1,Good,Good,0
