SA1_MAINCODE_2016,SA1_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102101209,10102101209,1,Good,Good,0
10102101210,10102101210,1,Good,Good,0
10102101211,10102101211,1,Good,Good,0
10102101212,10102101212,1,Good,Good,0
10102101213,10102101213,1,Good,Good,0
10102101214,10102101214,1,Good,Good,0
10102101215,10102101215,1,Good,Good,0
10102101216,10102101216,1,Good,Good,0
10102101217,10102101217,1,Good,Good,0
10102101218,10102101218,1,Good,Good,0
10102101219,10102101219,1,Good,Good,0
10102101220,10102101220,1,Good,Good,0
10102101221,10102101221,1,Good,Good,0
10102101222,10102101222,1,Good,Good,0
10102101223,10102101223,1,Good,Good,0
10102101224,10102101224,1,Good,Good,0
10102101225,10102101225,1,Good,Good,0
10102101226,10102101226,1,Good,Good,0
10102101227,10102101227,1,Good,Good,0
10102101228,10102101228,1,Good,Good,0
10102101229,10102101229,1,Good,Good,0
10102101230,10102101230,1,Good,Good,0
10102101231,10102101231,1,Good,Good,0
10102101232,10102101232,1,Good,Good,0
10103101301,10103101301,1,Good,Good,0
10103101302,10103101302,1,Good,Good,0
10103101303,10103101303,1,Good,Good,0
10103101304,10103101304,1,Good,Good,0
10103101305,10103101305,1,Good,Good,0
10103101306,10103101306,1,Good,Good,0
10103101307,10103101307,1,Good,Good,0
10103101308,10103101308,1,Good,Good,0
10103101401,10103101401,1,Good,Good,0
10103101402,10103101402,1,Good,Good,0
10103101403,10103101403,1,Good,Good,0
10103101404,10103101404,1,Good,Good,0
10103101405,10103101405,1,Good,Good,0
10103101406,10103101406,1,Good,Good,0
10103101407,10103101407,1,Good,Good,0
10103101408,10103101408,1,Good,Good,0
10103101409,10103101409,1,Good,Good,0
10103101410,10103101410,1,Good,Good,0
10103101411,10103101411,1,Good,Good,0
10103101412,10103101412,1,Good,Good,0
10103101413,10103101421,1,Good,Good,0
10103101414,10103101414,1,Good,Good,0
10103101415,10103101415,1,Good,Good,0
10103101417,10103101417,1,Good,Good,0
10103101418,10103101420,0.9599504,Good,Good,0
10103101418,10103101421,0.0400496,Good,Good,0
10103101419,10103101419,1,Good,Good,0
10103101501,10103101501,1,Good,Good,0
10103101502,10103101502,1,Good,Good,0
10103101503,10103101503,1,Good,Good,0
10103101505,10103101505,1,Good,Good,0
10103101511,10103101511,1,Good,Good,0
10103101512,10103101512,1,Good,Good,0
10103101514,10103101514,1,Good,Good,0
10103101515,10103101515,1,Good,Good,0
10103101516,10103101516,1,Good,Good,0
10103101517,10103101517,1,Good,Good,0
10103101518,10103101518,1,Good,Good,0
10103101519,10103101519,1,Good,Good,0
10103101520,10103101520,1,Good,Good,0
10103101521,10103101521,1,Good,Good,0
10103101522,10103101525,0.3138614,Poor,Good,0
10103101522,10103101526,0.6861386,Poor,Good,0
10103101523,10103101523,1,Good,Good,0
10103101524,10103101524,1,Good,Good,0
10103101601,10103101601,1,Good,Good,0
10103101602,10103101602,1,Good,Good,0
10103101603,10103101603,1,Good,Good,0
10103101604,10103101604,1,Good,Good,0
10103101605,10103101605,1,Good,Good,0
10103101606,10103101606,1,Good,Good,0
10103101607,10103101607,1,Good,Good,0
10103101608,10103101608,1,Good,Good,0
10103101609,10103101621,0.0443082,Poor,Good,0
10103101609,10103101622,0.8304425,Acceptable,Good,0
10103101609,10103101627,0.1252493,Poor,Good,0
10103101610,10103101625,0.4673898,Poor,Good,0
10103101610,10103101627,0.5326102,Poor,Good,0
10103101611,10103101611,1,Good,Good,0
10103101612,10103101612,1,Good,Good,0
10103101613,10103101627,1,Poor,Good,0
10103101614,10103101614,1,Good,Good,0
10103101615,10103101615,1,Good,Good,0
10103101616,10103101616,1,Good,Good,0
10103101617,10103101617,1,Good,Good,0
10103101618,10103101623,0.6252582,Poor,Good,0
10103101618,10103101624,0,Poor,Good,1
10103101618,10103101626,0.3747418,Poor,Good,0
10103101619,10103101619,1,Good,Good,0
10103101620,10103101620,1,Good,Good,0
10104101701,10104101701,1,Good,Good,0
10104101702,10104101702,1,Good,Good,0
10104101703,10104101703,1,Good,Good,0
10104101704,10104101704,1,Good,Good,0
10104101705,10104101705,1,Good,Good,0
10104101706,10104101706,1,Good,Good,0
10104101707,10104101707,1,Good,Good,0
10104101708,10104101708,1,Good,Good,0
10104101709,10104101709,1,Good,Good,0
10104101710,10104101710,1,Good,Good,0
10104101711,10104101711,1,Good,Good,0
10104101712,10104101723,0.7927652,Acceptable,Good,0
10104101712,10104101724,0.2072348,Poor,Good,0
10104101713,10104101713,1,Good,Good,0
10104101714,10104101714,1,Good,Good,0
10104101715,10104101715,1,Good,Good,0
10104101716,10104101716,1,Good,Good,0
10104101717,10104101717,1,Good,Good,0
10104101718,10104101718,1,Good,Good,0
10104101719,10104101719,1,Good,Good,0
10104101720,10104101720,1,Good,Good,0
10104101721,10104101721,1,Good,Good,0
10104101722,10104101722,1,Good,Good,0
10104101801,10104101801,1,Good,Good,0
10104101802,10104101802,1,Good,Good,0
10104101803,10104101803,1,Good,Good,0
10104101804,10104101804,1,Good,Good,0
10104101805,10104101805,1,Good,Good,0
