SA1_MAINCODE_2016,SA1_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
11401127224,11401127224,1,Good,Good,0
11401127225,11401127225,1,Good,Good,0
11401127226,11401127226,1,Good,Good,0
11401127301,11401127301,1,Good,Good,0
11401127302,11401127302,1,Good,Good,0
11401127303,11401127303,1,Good,Good,0
11401127304,11401127304,1,Good,Good,0
11401127305,11401127305,1,Good,Good,0
11401127306,11401127306,1,Good,Good,0
11401127307,11401127307,1,Good,Good,0
11401127308,11401127308,1,Good,Good,0
11401127309,11401127309,1,Good,Good,0
11401127310,11401127310,1,Good,Good,0
11401127311,11401127311,1,Good,Good,0
11401127312,11401127312,1,Good,Good,0
11401127401,11401127401,1,Good,Good,0
11401127402,11401127402,1,Good,Good,0
11401127403,11401127403,1,Good,Good,0
11401127404,11401127404,1,Good,Good,0
11401127405,11401127405,1,Good,Good,0
11401127406,11401127406,1,Good,Good,0
11401127407,11401127407,1,Good,Good,0
11401127408,11401127408,1,Good,Good,0
11401127409,11401127409,1,Good,Good,0
11401127410,11401127410,1,Good,Good,0
11401127411,11401127411,1,Good,Good,0
11401127412,11401127412,1,Good,Good,0
11401127413,11401127413,1,Good,Good,0
11401127414,11401127414,1,Good,Good,0
11401127415,11401127415,1,Good,Good,0
11401127416,11401127416,1,Good,Good,0
11401127501,11401127501,1,Good,Good,0
11401127601,11401127601,1,Good,Good,0
11401127602,11401127614,0.3755605,Poor,Good,0
11401127602,11401127616,0.6244395,Poor,Good,0
11401127603,11401127603,1,Good,Good,0
11401127604,11401127604,1,Good,Good,0
11401127605,11401127605,1,Good,Good,0
11401127606,11401127606,1,Good,Good,0
11401127607,11401127607,1,Good,Good,0
11401127608,11401127608,1,Good,Good,0
11401127609,11401127609,1,Good,Good,0
11401127610,11401127611,0,Poor,Good,1
11401127610,11401127612,0.3106137,Poor,Good,0
11401127610,11401127613,0.0241782,Poor,Good,0
11401127610,11401127615,0.4354066,Poor,Good,0
11401127610,11401127617,0.0808182,Poor,Good,0
11401127610,11401127618,0.1489832,Poor,Good,0
11401127701,11401127701,1,Good,Good,0
11401127702,11401127702,1,Good,Good,0
11401127703,11401127703,1,Good,Good,0
11401127704,11401127704,1,Good,Good,0
11401127705,11401127705,1,Good,Good,0
11401127706,11401127706,1,Good,Good,0
11401127707,11401127742,0.9875567,Good,Good,0
11401127707,11401127743,0.0124433,Poor,Good,0
11401127708,11401127708,1,Good,Good,0
11401127709,11401127709,1,Good,Good,0
11401127710,11401127710,1,Good,Good,0
11401127711,11401127711,1,Good,Good,0
11401127712,11401127712,1,Good,Good,0
11401127713,11401127713,1,Good,Good,0
11401127714,11401127714,1,Good,Good,0
11401127715,11401127715,1,Good,Good,0
11401127716,11401127716,1,Good,Good,0
11401127717,11401127717,1,Good,Good,0
11401127718,11401127718,1,Good,Good,0
11401127719,11401127719,1,Good,Good,0
11401127720,11401127720,1,Good,Good,0
11401127721,11401127721,1,Good,Good,0
11401127722,11401127722,1,Good,Good,0
11401127723,11401127723,1,Good,Good,0
11401127724,11401127724,1,Good,Good,0
11401127725,11401127725,1,Good,Good,0
11401127726,11401127726,1,Good,Good,0
11401127727,11401127727,1,Good,Good,0
11401127728,11401127728,1,Good,Good,0
11401127729,11401127729,1,Good,Good,0
11401127730,11401127730,1,Good,Good,0
11401127731,11401127731,1,Good,Good,0
11401127732,11401127732,1,Good,Good,0
11401127733,11401127733,1,Good,Good,0
11401127734,11401127734,1,Good,Good,0
11401127735,11401127735,1,Good,Good,0
11401127736,11401127736,1,Good,Good,0
11401127737,11401127737,1,Good,Good,0
11401127738,11401127738,1,Good,Good,0
11401127739,11401127739,1,Good,Good,0
11401127740,11401127740,1,Good,Good,0
11401127741,11401127741,1,Good,Good,0
11401127801,11401127801,1,Good,Good,0
11401127802,11401127802,1,Good,Good,0
11401127803,11401127859,0.4508686,Poor,Good,0
11401127803,11401127861,0.5491314,Poor,Good,0
11401127804,11401127804,1,Good,Good,0
11401127805,11401127805,1,Good,Good,0
11401127806,11401127855,0.0001428,Good,Good,1
11401127806,11401127860,0.9998572,Good,Good,0
11401127808,11401127808,1,Good,Good,0
11401127809,11401127809,1,Good,Good,0
11401127810,11401127810,1,Good,Good,0
11401127811,11401127811,1,Good,Good,0
11401127812,11401127812,1,Good,Good,0
11401127813,11401127813,1,Good,Good,0
11401127815,11401127815,1,Good,Good,0
11401127816,11401127816,1,Good,Good,0
11401127817,11401127817,1,Good,Good,0
11401127818,11401127818,1,Good,Good,0
11401127819,11401127819,1,Good,Good,0
11401127820,11401127820,1,Good,Good,0
11401127821,11401127821,1,Good,Good,0
11401127822,11401127822,1,Good,Good,0
11401127823,11401127823,1,Good,Good,0
11401127824,11401127824,1,Good,Good,0
11401127825,11401127825,1,Good,Good,0
11401127827,11401127827,1,Good,Good,0
11401127828,11401127828,1,Good,Good,0
11401127829,11401127829,1,Good,Good,0
11401127830,11401127830,1,Good,Good,0
11401127831,11401127831,1,Good,Good,0
11401127832,11401127832,1,Good,Good,0
11401127833,11401127833,1,Good,Good,0
11401127834,11401127834,1,Good,Good,0
11401127835,11401127835,1,Good,Good,0
11401127836,11401127836,1,Good,Good,0
11401127837,11401127837,1,Good,Good,0
11401127838,11401127838,1,Good,Good,0
11401127839,11401127857,0.4470124,Poor,Good,0
11401127839,11401127858,0.5529876,Poor,Good,0
11401127840,11401127840,1,Good,Good,0
11401127841,11401127841,1,Good,Good,0
11401127842,11401127842,1,Good,Good,0
11401127843,11401127855,1,Good,Good,0
11401127844,11401127844,1,Good,Good,0
11401127845,11401127845,1,Good,Good,0
11401127846,11401127846,1,Good,Good,0
11401127847,11401127847,1,Good,Good,0
11401127848,11401127856,0.2845919,Poor,Good,0
11401127848,11401127862,0.7154081,Poor,Good,0
11401127849,11401127849,1,Good,Good,0
11401127850,11401127850,1,Good,Good,0
11401127851,11401127851,1,Good,Good,0
11401127852,11401127852,1,Good,Good,0
11401127853,11401127853,1,Good,Good,0
11401127854,11401127854,1,Good,Good,0
11401127901,11401127901,1,Poor,Good,0
11401127902,11401127902,1,Good,Good,0
11401127903,11401127903,1,Good,Good,0
11401127905,11401127905,1,Good,Good,0
11401127906,11401127943,0.6460605,Poor,Good,0
11401127906,11401127945,0.3539395,Poor,Good,0
11401127907,11401127907,1,Good,Good,0
11401127908,11401127908,1,Good,Good,0
11401127909,11401127909,1,Good,Good,0
11401127910,11401127910,1,Good,Good,0
11401127912,11401127912,1,Good,Good,0
11401127913,11401127913,1,Good,Good,0
11401127914,11401127914,1,Good,Good,0
11401127915,11401127915,1,Good,Good,0
11401127916,11401127916,1,Good,Good,0
11401127917,11401127917,1,Good,Good,0
11401127918,11401127918,1,Good,Good,0
11401127919,11401127919,1,Good,Good,0
11401127920,11401127944,0.8458194,Acceptable,Good,0
11401127920,11401127946,0.1541806,Poor,Good,0
11401127921,11401127921,1,Good,Good,0
11401127922,11401127922,1,Good,Good,0
11401127923,11401127923,1,Good,Good,0
11401127924,11401127924,1,Good,Good,0
11401127925,11401127925,1,Good,Good,0
11401127926,11401127926,1,Good,Good,0
11401127927,11401127927,1,Good,Good,0
11401127928,11401127928,1,Good,Good,0
11401127929,11401127929,1,Good,Good,0
11401127930,11401127930,1,Good,Good,0
11401127931,11401127931,1,Good,Good,0
11401127932,11401127932,1,Good,Good,0
11401127933,11401127933,1,Good,Good,0
11401127934,11401127934,1,Good,Good,0
11401127935,11401127935,1,Good,Good,0
11401127936,11401127936,1,Good,Good,0
11401127937,11401127937,1,Good,Good,0
11401127938,11401127938,1,Good,Good,0
11401127939,11401127939,1,Good,Good,0
11401127940,11401127940,1,Good,Good,0
11401127941,11401127941,1,Good,Good,0
11401127942,11401127942,1,Good,Good,0
11401128001,11401128001,1,Good,Good,0
11401128002,11401128002,1,Good,Good,0
11401128003,11401128003,1,Good,Good,0
11401128004,11401128004,1,Good,Good,0
11401128005,11401128005,1,Good,Good,0
11401128006,11401128006,1,Good,Good,0
11401128007,11401128007,1,Good,Good,0
11401128008,11401128008,1,Good,Good,0
11401128009,11401128009,1,Good,Good,0
11401128010,11401128010,1,Good,Good,0
11401128011,11401128011,1,Good,Good,0
11401128012,11401128012,1,Good,Good,0
11401128013,11401128013,1,Good,Good,0
11401128014,11401128014,1,Good,Good,0
11401128101,11401128101,1,Good,Good,0
11401128102,11401128102,1,Good,Good,0
11401128103,11401128103,1,Good,Good,0
11401128104,11401128104,1,Good,Good,0
11401128105,11401128105,1,Good,Good,0
11401128106,11401128106,1,Good,Good,0
11401128107,11401128107,1,Good,Good,0
11401128108,11401128108,1,Good,Good,0
11401128109,11401128109,1,Good,Good,0
11401128110,11401128110,1,Good,Good,0
11401128201,11401128201,1,Good,Good,0
11401128202,11401128202,1,Good,Good,0
11401128203,11401128240,0.6426177,Poor,Good,0
11401128203,11401128249,0.3573823,Poor,Good,0
11401128204,11401128204,1,Good,Good,0
11401128205,11401128205,1,Good,Good,0
11401128206,11401128206,1,Good,Good,0
11401128207,11401128207,1,Good,Good,0
11401128208,11401128208,1,Good,Good,0
11401128209,11401128209,1,Good,Good,0
11401128210,11401128210,1,Good,Good,0
11401128211,11401128211,1,Good,Good,0
11401128212,11401128212,1,Good,Good,0
11401128213,11401128243,1,Good,Good,0
11401128214,11401128214,1,Good,Good,0
11401128215,11401128241,0.3867432,Poor,Good,0
11401128215,11401128245,0.6132568,Poor,Good,0
11401128216,11401128242,0.1475895,Poor,Good,0
11401128216,11401128246,0.8524105,Acceptable,Good,0
11401128217,11401128244,1,Acceptable,Good,0
11401128218,11401128240,0.2158705,Poor,Good,0
11401128218,11401128244,0.1714331,Acceptable,Good,0
11401128218,11401128247,0.6126964,Poor,Good,0
11401128219,11401128219,1,Good,Good,0
11401128220,11401128220,1,Good,Good,0
11401128221,11401128221,1,Good,Good,0
11401128222,11401128222,1,Good,Good,0
11401128223,11401128223,1,Good,Good,0
11401128224,11401128224,1,Good,Good,0
11401128225,11401128225,1,Good,Good,0
11401128226,11401128226,1,Good,Good,0
11401128227,11401128227,1,Good,Good,0
11401128228,11401128228,1,Good,Good,0
11401128229,11401128246,0.0031379,Acceptable,Good,1
11401128229,11401128248,0.9968621,Good,Good,0
11401128230,11401128230,1,Good,Good,0
11401128231,11401128231,1,Good,Good,0
11401128232,11401128232,1,Good,Good,0
11401128233,11401128233,1,Good,Good,0
11401128234,11401128234,1,Good,Good,0
11401128235,11401128235,1,Good,Good,0
11401128236,11401128236,1,Good,Good,0
11401128237,11401128237,1,Good,Good,0
11401128238,11401128238,1,Good,Good,0
11401128239,11401128239,1,Good,Good,0
11401128301,11401128301,1,Good,Good,0
11401128302,11401128320,0.3869339,Poor,Good,0
11401128302,11401128324,0.6130661,Poor,Good,0
11401128303,11401128303,1,Good,Good,0
11401128304,11401128304,1,Good,Good,0
11401128305,11401128305,1,Good,Good,0
11401128306,11401128306,1,Good,Good,0
11401128307,11401128307,1,Good,Good,0
11401128308,11401128308,1,Good,Good,0
11401128309,11401128309,1,Good,Good,0
11401128310,11401128310,1,Good,Good,0
11401128311,11401128311,1,Good,Good,0
11401128312,11401128312,1,Good,Good,0
11401128313,11401128313,1,Good,Good,0
11401128314,11401128321,0.2758638,Poor,Good,0
11401128314,11401128323,0.7241362,Poor,Good,0
11401128315,11401128319,0.6666667,Poor,Good,0
11401128315,11401128322,0.3333333,Poor,Good,0
11401128316,11401128316,1,Good,Good,0
11401128317,11401128318,0.9828607,Good,Good,0
11401128317,11401128319,0.0171393,Poor,Good,0
11402128401,11402128401,1,Good,Good,0
11402128402,11402128402,1,Good,Good,0
11402128403,11402128403,1,Good,Good,0
11402128404,11402128404,1,Good,Good,0
11402128405,11402128405,1,Good,Good,0
11402128406,11402128406,1,Good,Good,0
11402128407,11402128407,1,Good,Good,0
11402128408,11402128408,1,Good,Good,0
11402128409,11402128409,1,Good,Good,0
11402128410,11402128410,1,Good,Good,0
11402128411,11402128411,1,Good,Good,0
11402128412,11402128412,1,Good,Good,0
11402128413,11402128413,1,Good,Good,0
11402128414,11402128414,1,Good,Good,0
11402128415,11402128415,1,Good,Good,0
11402128416,11402128416,1,Good,Good,0
11402128417,11402128417,1,Good,Good,0
11402128418,11402128418,1,Good,Good,0
11402128419,11402128419,1,Good,Good,0
11402128420,11402128420,1,Good,Good,0
11402128421,11402128421,1,Good,Good,0
11402128422,11402128422,1,Good,Good,0
11402128423,11402128423,1,Good,Good,0
11402128424,11402128424,1,Good,Good,0
11402128425,11402128425,1,Good,Good,0
11402128426,11402128426,1,Good,Good,0
11402128427,11402128427,1,Good,Good,0
11402128428,11402128428,1,Good,Good,0
11402128430,11402128430,1,Good,Good,0
11402128431,11402128431,1,Good,Good,0
11402128432,11402128432,1,Good,Good,0
11402128433,11402128433,1,Good,Good,0
11402128501,11402128501,1,Good,Good,0
11402128502,11402128502,1,Good,Good,0
11402128503,11402128503,1,Good,Good,0
11402128504,11402128504,1,Good,Good,0
11402128505,11402128505,1,Good,Good,0
11402128506,11402128506,1,Good,Good,0
11402128507,11402128507,1,Good,Good,0
11402128508,11402128508,1,Good,Good,0
11402128509,11402128509,1,Good,Good,0
11402128510,11402128510,1,Good,Good,0
11402128511,11402128511,1,Good,Good,0
11402128512,11402128517,0.4007426,Acceptable,Good,0
11402128512,11402128518,0.5992574,Poor,Good,0
11402128513,11402128517,1,Acceptable,Good,0
11402128514,11402128514,1,Good,Good,0
11402128515,11402128515,1,Good,Good,0
11402128516,11402128516,1,Good,Good,0
11402128601,11402128601,1,Good,Good,0
11402128602,11402128602,1,Good,Good,0
11402128603,11402128632,1,Good,Good,0
11402128604,11402128604,1,Good,Good,0
11402128605,11402128605,1,Good,Good,0
11402128606,11402128628,0.0282758,Poor,Good,0
11402128606,11402128629,0.3636998,Poor,Good,0
11402128606,11402128630,0.4981702,Poor,Good,0
11402128606,11402128634,0.1098542,Poor,Good,0
11402128608,11402128608,1,Good,Good,0
11402128609,11402128609,1,Good,Good,0
11402128610,11402128610,1,Good,Good,0
11402128611,11402128611,1,Good,Good,0
11402128612,11402128612,1,Good,Good,0
11402128613,11402128613,1,Good,Good,0
11402128615,11402128631,0.998615,Good,Good,0
11402128615,11402128632,0.001385,Good,Good,1
11402128616,11402128616,1,Good,Good,0
11402128617,11402128617,1,Good,Good,0
11402128618,11402128618,1,Good,Good,0
11402128619,11402128619,1,Good,Good,0
11402128620,11402128627,0.0118954,Poor,Good,0
11402128620,11402128633,0.9881046,Good,Good,0
11402128621,11402128621,1,Good,Good,0
11402128622,11402128622,1,Good,Good,0
11402128623,11402128623,1,Good,Good,0
11402128624,11402128624,1,Good,Good,0
11402128625,11402128625,1,Good,Good,0
11402128626,11402128626,1,Good,Good,0
11402128701,11402128701,1,Good,Good,0
11402128702,11402128702,1,Good,Good,0
11402128703,11402128727,0.3993109,Poor,Good,0
11402128703,11402128729,0.6006891,Poor,Good,0
11402128704,11402128704,1,Good,Good,0
11402128705,11402128705,1,Good,Good,0
11402128706,11402128706,1,Good,Good,0
11402128707,11402128707,1,Good,Good,0
11402128708,11402128708,1,Good,Good,0
11402128709,11402128709,1,Good,Good,0
11402128710,11402128710,1,Good,Good,0
11402128711,11402128711,1,Good,Good,0
11402128712,11402128712,1,Good,Good,0
11402128713,11402128713,1,Good,Good,0
11402128714,11402128728,0.6363515,Poor,Good,0
11402128714,11402128730,0.3636485,Poor,Good,0
11402128715,11402128715,1,Good,Good,0
11402128716,11402128731,0.1556668,Poor,Good,0
11402128716,11402128732,0.8443332,Acceptable,Good,0
11402128717,11402128717,1,Good,Good,0
11402128718,11402128718,1,Good,Good,0
11402128719,11402128719,1,Good,Good,0
11402128720,11402128720,1,Good,Good,0
11402128721,11402128721,1,Good,Good,0
11402128722,11402128722,1,Good,Good,0
11402128723,11402128723,1,Good,Good,0
11402128724,11402128724,1,Good,Good,0
11402128725,11402128725,1,Good,Good,0
11402128726,11402128726,1,Good,Good,0
11402128801,11402128801,1,Good,Good,0
11402128802,11402128802,1,Good,Good,0
11402128803,11402128803,1,Good,Good,0
11402128804,11402128804,1,Good,Good,0
11402128805,11402128805,1,Good,Good,0
11402128806,11402128806,1,Good,Good,0
11402128807,11402128807,1,Good,Good,0
11402128808,11402128808,1,Good,Good,0
11402128809,11402128809,1,Good,Good,0
11402128810,11402128810,1,Good,Good,0
11402128811,11402128811,1,Good,Good,0
11402128812,11402128812,1,Good,Good,0
11402128901,11402128901,1,Good,Good,0
11402128902,11402128902,1,Good,Good,0
11402128903,11402128903,1,Good,Good,0
11402128904,11402128904,1,Good,Good,0
11402128905,11402128905,1,Good,Good,0
11402128906,11402128906,1,Good,Good,0
11402128907,11402128907,1,Good,Good,0
11402128908,11402128908,1,Good,Good,0
11402128909,11402128909,1,Good,Good,0
11402128910,11402128910,1,Good,Good,0
11402128911,11402128911,1,Good,Good,0
11402128912,11402128912,1,Good,Good,0
11402128913,11402128913,1,Good,Good,0
11402128914,11402128914,1,Good,Good,0
11402128915,11402128915,1,Good,Good,0
11402128916,11402128916,1,Good,Good,0
11402128917,11402128917,1,Good,Good,0
11402128918,11402128918,1,Good,Good,0
11402128919,11402128919,1,Good,Good,0
11501129001,11501129001,1,Good,Good,0
11501129002,11501129002,1,Good,Good,0
11501129003,11501129003,1,Good,Good,0
11501129004,11501129004,1,Good,Good,0
11501129005,11501129005,1,Good,Good,0
11501129006,11501129006,1,Good,Good,0
11501129007,11501129007,1,Good,Good,0
11501129008,11501129008,1,Good,Good,0
11501129009,11501129009,1,Good,Good,0
11501129010,11501129010,1,Good,Good,0
11501129011,11501129011,1,Good,Good,0
11501129012,11501129012,1,Good,Good,0
11501129013,11501129013,1,Good,Good,0
11501129014,11501129014,1,Good,Good,0
11501129015,11501129015,1,Good,Good,0
11501129016,11501129016,1,Good,Good,0
11501129017,11501129017,1,Good,Good,0
11501129018,11501129018,1,Good,Good,0
11501129019,11501129019,1,Good,Good,0
11501129020,11501129020,1,Good,Good,0
11501129021,11501129021,1,Good,Good,0
11501129022,11501129022,1,Good,Good,0
11501129023,11501129023,1,Good,Good,0
11501129024,11501129024,1,Good,Good,0
11501129025,11501129025,1,Good,Good,0
11501129026,11501129026,1,Good,Good,0
11501129027,11501129027,1,Good,Good,0
11501129028,11501129028,1,Good,Good,0
11501129029,11501129029,1,Good,Good,0
11501129030,11501129030,1,Good,Good,0
11501129031,11501129031,1,Good,Good,0
11501129032,11501129050,0.3757079,Poor,Good,0
11501129032,11501129051,0.6242921,Poor,Good,0
11501129033,11501129033,1,Good,Good,0
11501129034,11501129049,1,Good,Good,0
11501129035,11501129035,1,Good,Good,0
11501129036,11501129036,1,Good,Good,0
11501129037,11501129048,0.4099397,Poor,Good,0
11501129037,11501129052,0.192789,Poor,Good,0
11501129037,11501129053,0.3972712,Poor,Good,0
11501129038,11501129038,1,Good,Good,0
11501129039,11501129039,1,Good,Good,0
11501129040,11501129040,1,Good,Good,0
11501129041,11501129041,1,Good,Good,0
11501129042,11501129042,1,Good,Good,0
11501129043,11501129043,1,Good,Good,0
11501129044,11501129044,1,Good,Good,0
11501129045,11501129045,1,Good,Good,0
11501129046,11501129046,1,Good,Good,0
11501129047,11501129047,1,Good,Good,0
11501129101,11501129101,1,Good,Good,0
11501129102,11501129102,1,Good,Good,0
11501129103,11501129103,1,Good,Good,0
11501129104,11501129104,1,Good,Good,0
11501129105,11501129105,1,Good,Good,0
11501129106,11501129152,1,Good,Good,0
11501129107,11501129107,1,Good,Good,0
11501129108,11501129108,1,Good,Good,0
11501129109,11501129109,1,Good,Good,0
11501129110,11501129110,1,Good,Good,0
11501129111,11501129111,1,Good,Good,0
11501129112,11501129112,1,Good,Good,0
11501129113,11501129113,1,Good,Good,0
11501129114,11501129114,1,Good,Good,0
11501129115,11501129115,1,Good,Good,0
11501129116,11501129116,1,Good,Good,0
11501129117,11501129117,1,Good,Good,0
11501129118,11501129118,1,Good,Good,0
11501129119,11501129119,1,Good,Good,0
11501129120,11501129120,1,Good,Good,0
11501129121,11501129121,1,Good,Good,0
11501129122,11501129122,1,Good,Good,0
11501129123,11501129150,0.4440181,Poor,Good,0
11501129123,11501129152,0.012494,Good,Good,0
11501129123,11501129156,0.5434879,Poor,Good,0
11501129124,11501129124,1,Good,Good,0
11501129125,11501129151,4.00E-07,Poor,Good,1
11501129125,11501129155,0.0162571,Poor,Good,0
11501129125,11501129157,1.95E-05,Poor,Good,1
11501129125,11501129158,0.0324028,Poor,Good,0
11501129125,11501129159,0.3278943,Poor,Good,0
11501129125,11501129160,0.6234259,Poor,Good,0
11501129127,11501129127,1,Good,Good,0
11501129128,11501129128,1,Good,Good,0
11501129129,11501129129,1,Good,Good,0
11501129130,11501129130,1,Good,Good,0
11501129131,11501129131,1,Good,Good,0
11501129132,11501129132,1,Good,Good,0
11501129133,11501129133,1,Good,Good,0
11501129134,11501129134,1,Good,Good,0
11501129135,11501129135,1,Good,Good,0
11501129136,11501129136,1,Good,Good,0
11501129137,11501129153,1,Good,Good,0
11501129138,11501129154,0.6670019,Poor,Good,0
11501129138,11501162216,0.3329981,Poor,Good,0
11501129139,11501129139,1,Good,Good,0
11501129140,11501129140,1,Good,Good,0
11501129141,11501129141,1,Good,Good,0
11501129142,11501129142,1,Good,Good,0
11501129143,11501129143,1,Good,Good,0
11501129144,11501129144,1,Good,Good,0
11501129145,11501129145,1,Good,Good,0
11501129146,11501129146,1,Good,Good,0
11501129147,11501129147,1,Good,Good,0
11501129148,11501129148,1,Good,Good,0
11501129149,11501129149,1,Good,Good,0
11501129401,11501129401,1,Good,Good,0
11501129402,11501129402,1,Good,Good,0
11501129403,11501129403,1,Good,Good,0
11501129404,11501129404,1,Good,Good,0
11501129405,11501129405,1,Good,Good,0
11501129406,11501129406,1,Good,Good,0
11501129407,11501129407,1,Good,Good,0
11501129408,11501129408,1,Good,Good,0
11501129409,11501129409,1,Good,Good,0
11501129410,11501129410,1,Good,Good,0
11501129411,11501129411,1,Good,Good,0
11501129412,11501129412,1,Good,Good,0
11501129413,11501129413,1,Good,Good,0
11501129414,11501129414,1,Good,Good,0
11501129415,11501129415,1,Good,Good,0
11501129416,11501129416,1,Good,Good,0
11501129601,11501129601,1,Good,Good,0
11501129602,11501129602,1,Good,Good,0
11501129603,11501129603,1,Good,Good,0
11501129604,11501129604,1,Good,Good,0
11501129605,11501129605,1,Good,Good,0
11501129606,11501129606,1,Good,Good,0
11501129607,11501129607,1,Good,Good,0
11501129608,11501129608,1,Good,Good,0
11501129609,11501129609,1,Good,Good,0
11501129610,11501129610,1,Good,Good,0
11501129611,11501129611,1,Good,Good,0
11501129612,11501129612,1,Good,Good,0
11501129613,11501129613,1,Good,Good,0
11501129614,11501129614,1,Good,Good,0
11501129615,11501129615,1,Good,Good,0
11501129616,11501129616,1,Good,Good,0
11501129617,11501129617,1,Good,Good,0
11501129618,11501129618,1,Good,Good,0
11501129619,11501129619,1,Good,Good,0
11501129620,11501129620,1,Good,Good,0
11501129621,11501129621,1,Good,Good,0
11501129622,11501129622,1,Good,Good,0
11501129623,11501129623,1,Good,Good,0
11501129624,11501129624,1,Good,Good,0
11501129625,11501129625,1,Good,Good,0
11501129626,11501129626,1,Good,Good,0
11501129627,11501129627,1,Good,Good,0
11501129628,11501129628,1,Good,Good,0
11501129629,11501129629,1,Good,Good,0
11501129630,11501129630,1,Good,Good,0
11501129631,11501129631,1,Good,Good,0
11501129632,11501129632,1,Good,Good,0
11501155301,11501155301,1,Good,Good,0
11501155302,11501155302,1,Good,Good,0
11501155303,11501155303,1,Good,Good,0
11501155304,11501155304,1,Good,Good,0
11501155305,11501155305,1,Good,Good,0
11501155306,11501155306,1,Good,Good,0
11501155307,11501155307,1,Good,Good,0
11501155308,11501155308,1,Good,Good,0
11501155309,11501155309,1,Good,Good,0
11501155310,11501155310,1,Good,Good,0
11501155311,11501155311,1,Good,Good,0
11501155312,11501155312,1,Good,Good,0
11501155313,11501155313,1,Good,Good,0
11501155314,11501155314,1,Good,Good,0
11501155315,11501155315,1,Good,Good,0
11501155316,11501155316,1,Good,Good,0
11501155317,11501155317,1,Good,Good,0
11501155401,11501155401,1,Good,Good,0
11501155402,11501155402,1,Good,Good,0
11501155403,11501155403,1,Good,Good,0
11501155404,11501155404,1,Good,Good,0
11501155405,11501155405,1,Good,Good,0
11501155406,11501155406,1,Good,Good,0
11501155407,11501155407,1,Good,Good,0
11501155408,11501155408,1,Good,Good,0
11501155409,11501155409,1,Good,Good,0
11501155410,11501155410,1,Good,Good,0
11501155411,11501155411,1,Good,Good,0
11501155412,11501155412,1,Good,Good,0
11501155413,11501155413,1,Good,Good,0
11501155501,11501155501,1,Good,Good,0
11501155502,11501155502,1,Good,Good,0
11501155503,11501155503,1,Good,Good,0
11501155504,11501155504,1,Good,Good,0
11501155505,11501155505,1,Good,Good,0
11501155506,11501155506,1,Good,Good,0
11501155507,11501155507,1,Good,Good,0
11501155508,11501155508,1,Good,Good,0
11501155509,11501155509,1,Good,Good,0
11501155510,11501155510,1,Good,Good,0
11501155511,11501155511,1,Good,Good,0
11501155512,11501155512,1,Good,Good,0
11501155513,11501155513,1,Good,Good,0
11501155514,11501155514,1,Good,Good,0
11501155515,11501155515,1,Good,Good,0
11501155516,11501155516,1,Good,Good,0
11501155517,11501155517,1,Good,Good,0
11501155518,11501155518,1,Good,Good,0
11501155519,11501155519,1,Good,Good,0
11501155520,11501155520,1,Good,Good,0
11501155521,11501155521,1,Good,Good,0
11501155522,11501155522,1,Good,Good,0
11501155523,11501155523,1,Good,Good,0
11501155524,11501155524,1,Good,Good,0
11501155525,11501155525,1,Good,Good,0
11501155526,11501155526,1,Good,Good,0
11501155527,11501155527,1,Good,Good,0
11501155528,11501155528,1,Good,Good,0
11501155529,11501155529,1,Good,Good,0
11501155601,11501155601,1,Good,Good,0
11501155602,11501155602,1,Good,Good,0
11501155603,11501155603,1,Good,Good,0
11501155604,11501155604,1,Good,Good,0
11501155605,11501155605,1,Good,Good,0
11501155606,11501155606,1,Good,Good,0
11501155607,11501155607,1,Good,Good,0
11501155608,11501155608,1,Good,Good,0
11501155609,11501155609,1,Good,Good,0
11501155610,11501155610,1,Good,Good,0
11501155611,11501155622,0.3617162,Poor,Good,0
11501155611,11501155623,0.6382838,Poor,Good,0
11501155612,11501155612,1,Good,Good,0
11501155613,11501155613,1,Good,Good,0
11501155614,11501155624,0,Poor,Good,1
11501155614,11501155625,1,Good,Good,0
11501155615,11501155615,1,Good,Good,0
11501155616,11501155616,1,Good,Good,0
11501155617,11501155617,1,Good,Good,0
11501155618,11501155618,1,Good,Good,0
11501155619,11501155619,1,Good,Good,0
11501155620,11501155620,1,Good,Good,0
11501155621,11501155621,1,Good,Good,0
11501155701,11501155701,1,Good,Good,0
11501155702,11501155702,1,Good,Good,0
11501155703,11501155703,1,Good,Good,0
11501155704,11501155704,1,Good,Good,0
11501155705,11501155705,1,Good,Good,0
11501155706,11501155706,1,Good,Good,0
11501155707,11501155707,1,Good,Good,0
11501155708,11501155708,1,Good,Good,0
11501155709,11501155709,1,Good,Good,0
11501155710,11501155710,1,Good,Good,0
11501155711,11501155711,1,Good,Good,0
11501155712,11501155712,1,Good,Good,0
11501155713,11501155713,1,Good,Good,0
11501155801,11501155801,1,Good,Good,0
11501155802,11501155802,1,Good,Good,0
11501155803,11501155803,1,Good,Good,0
11501155804,11501155804,1,Good,Good,0
11501155805,11501155805,1,Good,Good,0
11501155806,11501155806,1,Good,Good,0
11501155807,11501155807,1,Good,Good,0
11501155808,11501155808,1,Good,Good,0
11501155809,11501155809,1,Good,Good,0
11501155810,11501155810,1,Good,Good,0
11501155811,11501155811,1,Good,Good,0
11501155812,11501155812,1,Good,Good,0
