LGA_CODE_2016,LGA_NAME_2016,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
17310,Tamworth Regional (A),130,New England,1,Good,Poor,0
17350,Temora (A),139,Riverina,1,Good,Poor,0
17400,Tenterfield (A),130,New England,1,Good,Poor,0
17420,The Hills Shire (A),104,Berowra,0.1921961,Poor,Poor,0
17420,The Hills Shire (A),129,Mitchell,0.8078039,Poor,Poor,0
17550,Tweed (A),138,Richmond,1,Good,Poor,0
17620,Upper Hunter Shire (A),107,Calare,0,Good,Poor,1
17620,Upper Hunter Shire (A),130,New England,1,Good,Poor,0
17640,Upper Lachlan Shire (A),120,Hume,1,Acceptable,Poor,0
17650,Uralla (A),130,New England,1,Good,Poor,0
17750,Wagga Wagga (C),139,Riverina,1,Good,Poor,0
17850,Walcha (A),130,New England,1,Good,Poor,0
17900,Walgett (A),134,Parkes,1,Good,Poor,0
17950,Warren (A),134,Parkes,1,Good,Poor,0
18020,Warrumbungle Shire (A),134,Parkes,1,Good,Poor,0
18050,Waverley (A),145,Wentworth,1,Acceptable,Poor,0
18100,Weddin (A),139,Riverina,1,Good,Poor,0
18200,Wentworth (A),114,Farrer,1,Good,Poor,0
18230,Western Plains Regional (A),107,Calare,0.1736447,Good,Poor,0
18230,Western Plains Regional (A),134,Parkes,0.8263553,Good,Poor,0
18250,Willoughby (C),106,Bradfield,0.2138883,Acceptable,Poor,0
18250,Willoughby (C),132,North Sydney,0.7861117,Acceptable,Poor,0
18350,Wingecarribee (A),111,Cunningham,0,Acceptable,Poor,1
18350,Wingecarribee (A),116,Gilmore,0,Good,Poor,1
18350,Wingecarribee (A),120,Hume,0.2587343,Acceptable,Poor,0
18350,Wingecarribee (A),147,Whitlam,0.7412657,Poor,Poor,0
18400,Wollondilly (A),111,Cunningham,0.0006392,Acceptable,Poor,1
18400,Wollondilly (A),120,Hume,0.9993608,Acceptable,Poor,0
18450,Wollongong (C),111,Cunningham,0.7626339,Acceptable,Poor,0
18450,Wollongong (C),147,Whitlam,0.2373661,Poor,Poor,0
18500,Woollahra (A),145,Wentworth,1,Acceptable,Poor,0
18710,Yass Valley (A),113,Eden-Monaro,0.9935644,Good,Poor,0
18710,Yass Valley (A),120,Hume,0.0064356,Acceptable,Poor,1
19399,Unincorporated NSW,134,Parkes,0.6315277,Good,Poor,0
19399,Unincorporated NSW,142,Sydney,0.3684723,Good,Poor,0
20110,Alpine (S),222,Indi,1,Good,Poor,0
20260,Ararat (RC),229,Mallee,0.0161263,Good,Poor,0
20260,Ararat (RC),237,Wannon,0.9838737,Good,Poor,0
20570,Ballarat (C),202,Ballarat,0.9993217,Good,Poor,0
20570,Ballarat (C),237,Wannon,0.0006783,Good,Poor,1
20660,Banyule (C),224,Jagajaga,1,Good,Poor,0
20740,Bass Coast (S),234,Monash,1,Acceptable,Poor,0
20830,Baw Baw (S),216,Gippsland,0.0005577,Good,Poor,1
20830,Baw Baw (S),234,Monash,0.9994423,Acceptable,Poor,0
20910,Bayside (C),217,Goldstein,1,Acceptable,Poor,0
21010,Benalla (RC),222,Indi,1,Good,Poor,0
21110,Boroondara (C),219,Higgins,0.1440945,Poor,Poor,0
21110,Boroondara (C),225,Kooyong,0.8559055,Acceptable,Poor,0
21110,Boroondara (C),233,Menzies,0,Acceptable,Poor,1
21180,Brimbank (C),205,Calwell,0.0139962,Acceptable,Poor,0
21180,Brimbank (C),214,Fraser,0.8167192,Acceptable,Poor,0
21180,Brimbank (C),218,Gorton,0.1692691,Acceptable,Poor,0
21180,Brimbank (C),230,Maribyrnong,1.55e-05,Acceptable,Poor,1
21270,Buloke (S),229,Mallee,1,Good,Poor,0
21370,Campaspe (S),235,Nicholls,1,Good,Poor,0
21450,Cardinia (S),226,La Trobe,0.8504281,Poor,Poor,0
21450,Cardinia (S),234,Monash,0.1495719,Acceptable,Poor,0
21610,Casey (C),204,Bruce,0.2157744,Poor,Poor,0
21610,Casey (C),220,Holt,0.5533612,Poor,Poor,0
21610,Casey (C),226,La Trobe,0.2308644,Poor,Poor,0
21670,Central Goldfields (S),203,Bendigo,0.0013098,Good,Poor,1
21670,Central Goldfields (S),229,Mallee,0.9986902,Good,Poor,0
21750,Colac-Otway (S),209,Corangamite,0.2319763,Poor,Poor,0
21750,Colac-Otway (S),237,Wannon,0.7680237,Good,Poor,0
21830,Corangamite (S),237,Wannon,1,Good,Poor,0
21890,Darebin (C),208,Cooper,1,Good,Poor,0
22110,East Gippsland (S),216,Gippsland,1,Good,Poor,0
22170,Frankston (C),212,Dunkley,1,Acceptable,Poor,0
22250,Gannawarra (S),229,Mallee,1,Good,Poor,0
22310,Glen Eira (C),217,Goldstein,0.3584545,Acceptable,Poor,0
22310,Glen Eira (C),219,Higgins,0.2087353,Poor,Poor,0
22310,Glen Eira (C),221,Hotham,0.1987478,Poor,Poor,0
22310,Glen Eira (C),228,Macnamara,0.2340623,Poor,Poor,0
22410,Glenelg (S),237,Wannon,1,Good,Poor,0
22490,Golden Plains (S),209,Corangamite,0.5649,Poor,Poor,0
22490,Golden Plains (S),237,Wannon,0.4351,Good,Poor,0
22620,Greater Bendigo (C),203,Bendigo,1,Good,Poor,0
22670,Greater Dandenong (C),204,Bruce,0.7482555,Poor,Poor,0
22670,Greater Dandenong (C),221,Hotham,0.100507,Poor,Poor,0
22670,Greater Dandenong (C),223,Isaacs,0.1512374,Poor,Poor,0
22750,Greater Geelong (C),209,Corangamite,0.365034,Poor,Poor,0
22750,Greater Geelong (C),210,Corio,0.634966,Poor,Poor,0
22830,Greater Shepparton (C),222,Indi,0.0005173,Good,Poor,1
22830,Greater Shepparton (C),235,Nicholls,0.9994827,Good,Poor,0
22910,Hepburn (S),202,Ballarat,0.9993463,Good,Poor,0
22910,Hepburn (S),237,Wannon,0.0006537,Good,Poor,1
22980,Hindmarsh (S),229,Mallee,1,Good,Poor,0
23110,Hobsons Bay (C),215,Gellibrand,1,Poor,Poor,0
23190,Horsham (RC),229,Mallee,1,Good,Poor,0
23270,Hume (C),205,Calwell,0.8091047,Acceptable,Poor,0
23270,Hume (C),231,McEwen,0.1908953,Poor,Poor,0
23350,Indigo (S),222,Indi,1,Good,Poor,0
23430,Kingston (C) (Vic.),221,Hotham,0.1603601,Poor,Poor,0
23430,Kingston (C) (Vic.),223,Isaacs,0.8396399,Poor,Poor,0
23670,Knox (C),201,Aston,1,Good,Poor,0
23810,Latrobe (C) (Vic.),216,Gippsland,0.7708786,Good,Poor,0
23810,Latrobe (C) (Vic.),234,Monash,0.2291214,Acceptable,Poor,0
23940,Loddon (S),203,Bendigo,0.0338693,Good,Poor,0
23940,Loddon (S),229,Mallee,0.9661307,Good,Poor,0
24130,Macedon Ranges (S),203,Bendigo,0.3581617,Good,Poor,0
24130,Macedon Ranges (S),231,McEwen,0.6418383,Poor,Poor,0
24210,Manningham (C),211,Deakin,0.0025222,Poor,Poor,1
24210,Manningham (C),233,Menzies,0.9974778,Acceptable,Poor,0
24250,Mansfield (S),222,Indi,1,Good,Poor,0
24330,Maribyrnong (C),214,Fraser,0.111955,Acceptable,Poor,0
24330,Maribyrnong (C),215,Gellibrand,0.423075,Poor,Poor,0
24330,Maribyrnong (C),230,Maribyrnong,0.4649699,Acceptable,Poor,0
24410,Maroondah (C),211,Deakin,0.9535401,Poor,Poor,0
24410,Maroondah (C),233,Menzies,0.0464599,Acceptable,Poor,0
24600,Melbourne (C),228,Macnamara,0.197841,Poor,Poor,0
24600,Melbourne (C),230,Maribyrnong,0.0006253,Acceptable,Poor,1
24600,Melbourne (C),232,Melbourne,0.8015337,Acceptable,Poor,0
24650,Melton (C),218,Gorton,1,Acceptable,Poor,0
24780,Mildura (RC),229,Mallee,1,Good,Poor,0
24850,Mitchell (S),222,Indi,0.0007579,Good,Poor,1
24850,Mitchell (S),231,McEwen,0.6162046,Poor,Poor,0
24850,Mitchell (S),235,Nicholls,0.3830375,Good,Poor,0
24900,Moira (S),235,Nicholls,1,Good,Poor,0
24970,Monash (C),207,Chisholm,0.3708601,Poor,Poor,0
24970,Monash (C),219,Higgins,0.0412906,Poor,Poor,0
24970,Monash (C),221,Hotham,0.5878493,Poor,Poor,0
25060,Moonee Valley (C),230,Maribyrnong,0.99988,Acceptable,Poor,0
25060,Moonee Valley (C),232,Melbourne,0.00012,Acceptable,Poor,1
25150,Moorabool (S),202,Ballarat,1,Good,Poor,0
25250,Moreland (C),208,Cooper,0.0241171,Good,Poor,0
25250,Moreland (C),230,Maribyrnong,0.0179201,Acceptable,Poor,0
25250,Moreland (C),232,Melbourne,0.004917,Acceptable,Poor,1
25250,Moreland (C),238,Wills,0.9530459,Good,Poor,0
25340,Mornington Peninsula (S),212,Dunkley,0.1154035,Acceptable,Poor,0
25340,Mornington Peninsula (S),213,Flinders,0.8845965,Acceptable,Poor,0
25430,Mount Alexander (S),203,Bendigo,0.999787,Good,Poor,0
25430,Mount Alexander (S),229,Mallee,0.000213,Good,Poor,1
25490,Moyne (S),237,Wannon,1,Good,Poor,0
25620,Murrindindi (S),222,Indi,1,Good,Poor,0
25710,Nillumbik (S),224,Jagajaga,0.3834368,Good,Poor,0
25710,Nillumbik (S),231,McEwen,0.1663162,Poor,Poor,0
25710,Nillumbik (S),233,Menzies,0.4502469,Acceptable,Poor,0
25810,Northern Grampians (S),229,Mallee,0.3381736,Good,Poor,0
25810,Northern Grampians (S),237,Wannon,0.6618264,Good,Poor,0
25900,Port Phillip (C),228,Macnamara,1,Poor,Poor,0
25990,Pyrenees (S),202,Ballarat,0.0055455,Good,Poor,1
25990,Pyrenees (S),229,Mallee,0.3316235,Good,Poor,0
25990,Pyrenees (S),237,Wannon,0.662831,Good,Poor,0
26080,Queenscliffe (B),209,Corangamite,1,Poor,Poor,0
26170,South Gippsland (S),216,Gippsland,0.0026536,Good,Poor,1
26170,South Gippsland (S),234,Monash,0.9973464,Acceptable,Poor,0
26260,Southern Grampians (S),237,Wannon,1,Good,Poor,0
26350,Stonnington (C),219,Higgins,0.9372996,Poor,Poor,0
26350,Stonnington (C),228,Macnamara,0.0627004,Poor,Poor,0
26430,Strathbogie (S),222,Indi,0.5350126,Good,Poor,0
26430,Strathbogie (S),235,Nicholls,0.4649874,Good,Poor,0
26490,Surf Coast (S),209,Corangamite,1,Poor,Poor,0
26610,Swan Hill (RC),229,Mallee,1,Good,Poor,0
26670,Towong (S),222,Indi,1,Good,Poor,0
26700,Wangaratta (RC),222,Indi,1,Good,Poor,0
26730,Warrnambool (C),237,Wannon,1,Good,Poor,0
26810,Wellington (S),216,Gippsland,1,Good,Poor,0
26810,Wellington (S),234,Monash,0,Acceptable,Poor,1
26890,West Wimmera (S),229,Mallee,1,Good,Poor,0
26980,Whitehorse (C),207,Chisholm,0.631553,Poor,Poor,0
26980,Whitehorse (C),211,Deakin,0.2961292,Poor,Poor,0
26980,Whitehorse (C),225,Kooyong,0.0723179,Acceptable,Poor,0
26980,Whitehorse (C),233,Menzies,0,Acceptable,Poor,1
27070,Whittlesea (C),231,McEwen,0.2002966,Poor,Poor,0
27070,Whittlesea (C),236,Scullin,0.7997034,Acceptable,Poor,0
27170,Wodonga (C),222,Indi,1,Good,Poor,0
27260,Wyndham (C),215,Gellibrand,0.1943909,Poor,Poor,0
27260,Wyndham (C),227,Lalor,0.8056091,Acceptable,Poor,0
27350,Yarra (C),208,Cooper,0.0871498,Good,Poor,0
27350,Yarra (C),232,Melbourne,0.9128502,Acceptable,Poor,0
27450,Yarra Ranges (S),201,Aston,0.0002809,Good,Poor,1
27450,Yarra Ranges (S),206,Casey,0.9985289,Good,Poor,0
27450,Yarra Ranges (S),226,La Trobe,0.0007289,Poor,Poor,1
27450,Yarra Ranges (S),233,Menzies,0.0004614,Acceptable,Poor,1
27630,Yarriambiack (S),229,Mallee,1,Good,Poor,0
29399,Unincorporated Vic,213,Flinders,0.1337869,Acceptable,Poor,0
29399,Unincorporated Vic,216,Gippsland,0,Good,Poor,1
29399,Unincorporated Vic,222,Indi,0.8299317,Good,Poor,0
29399,Unincorporated Vic,234,Monash,0.0362814,Acceptable,Poor,0
29399,Unincorporated Vic,237,Wannon,0,Good,Poor,1
30250,Aurukun (S),318,Leichhardt,1,Acceptable,Poor,0
30300,Balonne (S),321,Maranoa,1,Acceptable,Poor,0
30370,Banana (S),311,Flynn,1,Acceptable,Poor,0
30410,Barcaldine (R),321,Maranoa,1,Acceptable,Poor,0
30450,Barcoo (S),321,Maranoa,1,Acceptable,Poor,0
30760,Blackall-Tambo (R),321,Maranoa,1,Acceptable,Poor,0
30900,Boulia (S),317,Kennedy,1,Acceptable,Poor,0
31000,Brisbane (C),301,Blair,0.0054639,Poor,Poor,1
31000,Brisbane (C),302,Bonner,0.1323377,Poor,Poor,0
31000,Brisbane (C),304,Brisbane,0.1412047,Poor,Poor,0
31000,Brisbane (C),307,Dickson,0.0046214,Poor,Poor,1
31000,Brisbane (C),313,Griffith,0.1323934,Poor,Poor,0
31000,Brisbane (C),319,Lilley,0.1327294,Poor,Poor,0
31000,Brisbane (C),324,Moreton,0.143148,Poor,Poor,0
31000,Brisbane (C),325,Oxley,0.0928312,Poor,Poor,0
31000,Brisbane (C),326,Petrie,0.0396065,Poor,Poor,0
31000,Brisbane (C),327,Rankin,0.0399857,Poor,Poor,0
31000,Brisbane (C),328,Ryan,0.135678,Poor,Poor,0
31750,Bulloo (S),321,Maranoa,1,Acceptable,Poor,0
31820,Bundaberg (R),311,Flynn,0.1703501,Acceptable,Poor,0
31820,Bundaberg (R),316,Hinkler,0.8296499,Poor,Poor,0
31900,Burdekin (S),306,Dawson,0.9852379,Poor,Poor,0
31900,Burdekin (S),317,Kennedy,0.0147621,Acceptable,Poor,0
31950,Burke (S),317,Kennedy,1,Acceptable,Poor,0
32080,Cairns (R),317,Kennedy,0.1967467,Acceptable,Poor,0
32080,Cairns (R),318,Leichhardt,0.8032533,Acceptable,Poor,0
32250,Carpentaria (S),317,Kennedy,1,Acceptable,Poor,0
32260,Cassowary Coast (R),317,Kennedy,1,Acceptable,Poor,0
32270,Central Highlands (R) (Qld),311,Flynn,1,Acceptable,Poor,0
32310,Charters Towers (R),317,Kennedy,1,Acceptable,Poor,0
32330,Cherbourg (S),329,Wide Bay,1,Acceptable,Poor,0
32450,Cloncurry (S),317,Kennedy,1,Acceptable,Poor,0
32500,Cook (S),318,Leichhardt,1,Acceptable,Poor,0
32600,Croydon (S),317,Kennedy,1,Acceptable,Poor,0
32750,Diamantina (S),321,Maranoa,1,Acceptable,Poor,0
