LOCALITY_PID_NOV2019,LOCALITY_NAME_NOV2019,SED_CODE_2019,SED_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT707,AMAROO,80005,Yerrabi,1,Good,Good,0
ACT708,NICHOLLS,80005,Yerrabi,1,Good,Good,0
ACT709,PALMERSTON,80005,Yerrabi,1,Good,Good,0
ACT710,GUNGAHLIN,80005,Yerrabi,1,Good,Good,0
ACT711,HARRISON,80005,Yerrabi,1,Good,Good,0
ACT716,FORDE,80005,Yerrabi,1,Good,Good,0
ACT719,BONNER,80005,Yerrabi,1,Good,Good,0
ACT801,OAKS ESTATE,80003,Kurrajong,1,Good,Good,0
ACT802,HUME,80003,Kurrajong,1,Good,Good,0
ACT803,SYMONSTON,80003,Kurrajong,1,Good,Good,0
ACT901,HALL,80005,Yerrabi,1,Good,Good,0
ACT902,FRANKLIN,80005,Yerrabi,1,Good,Good,0
ACT903,CASEY,80005,Yerrabi,1,Good,Good,0
ACT904,CRACE,80005,Yerrabi,1,Good,Good,0
ACT905,BEARD,80003,Kurrajong,1,Good,Good,0
ACT906,COOMBS,80004,Murrumbidgee,1,Good,Good,0
ACT907,WRIGHT,80004,Murrumbidgee,1,Good,Good,0
ACT927,URIARRA VILLAGE,80004,Murrumbidgee,1,Good,Good,0
ACT928,JACKA,80005,Yerrabi,1,Good,Good,0
ACT929,DENMAN PROSPECT,80004,Murrumbidgee,1,Good,Good,0
ACT930,MOLONGLO,80004,Murrumbidgee,1,Good,Good,0
ACT931,CANBERRA AIRPORT,80003,Kurrajong,1,Good,Good,0
ACT932,MONCRIEFF,80005,Yerrabi,1,Good,Good,0
ACT933,THROSBY,80005,Yerrabi,1,Good,Good,0
ACT934,TAYLOR,80005,Yerrabi,1,Good,Good,0
ACT935,STRATHNAIRN,80002,Ginninderra,1,Good,Good,0
ACT936,MACNAMARA,80002,Ginninderra,1,Good,Good,0
ACT937,WHITLAM,80002,Ginninderra,0.0016991,Poor,Good,0
ACT937,WHITLAM,80004,Murrumbidgee,0.9983009,Poor,Good,0
NSW1,AARONS PASS,10007,Bathurst,1,Good,Good,0
NSW10,ABERGLASSLYN,10049,Maitland,1,Good,Good,0
NSW100,ASHLEY,10061,Northern Tablelands,1,Good,Good,0
NSW1000,COMARA,10064,Oxley,1,Good,Good,0
NSW1001,COMBANING,10022,Cootamundra,1,Good,Good,0
NSW1002,COMBARA,10006,Barwon,1,Good,Good,0
NSW1003,COMBERTON,10076,South Coast,1,Good,Good,0
NSW1004,COMBO,10085,Upper Hunter,1,Good,Good,0
NSW1005,COMBOYNE,10064,Oxley,1,Good,Good,0
NSW1006,COME BY CHANCE,10006,Barwon,1,Good,Good,0
NSW1007,COMERONG ISLAND,10076,South Coast,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,10045,Lismore,1,Good,Good,0
NSW1009,COMO,10052,Miranda,1,Acceptable,Good,0
NSW101,ASHMONT,10087,Wagga Wagga,1,Good,Good,0
NSW1010,COMOBELLA,10026,Dubbo,1,Good,Good,0
NSW1011,CONARGO,10056,Murray,1,Good,Good,0
NSW1012,CONCORD,10025,Drummoyne,1,Good,Good,0
NSW1013,CONCORD WEST,10025,Drummoyne,0.9390926,Good,Good,0
NSW1013,CONCORD WEST,10077,Strathfield,0.0609074,Good,Good,0
NSW1014,CONDELL PARK,10005,Bankstown,0.0010219,Acceptable,Good,1
NSW1014,CONDELL PARK,10027,East Hills,0.9989781,Good,Good,0
NSW1015,CONDOBOLIN,10006,Barwon,1,Good,Good,0
NSW1016,CONDONG,10084,Tweed,1,Good,Good,0
NSW1017,CONEAC,10085,Upper Hunter,1,Good,Good,0
NSW1018,CONGARINNI,10064,Oxley,1,Good,Good,0
NSW1019,CONGARINNI NORTH,10064,Oxley,1,Good,Good,0
NSW102,ASHTONFIELD,10049,Maitland,1,Good,Good,0
NSW1020,CONGEWAI,10017,Cessnock,1,Good,Good,0
NSW1021,CONGO,10009,Bega,1,Good,Good,0
NSW1022,CONIMBIA,10006,Barwon,1,Good,Good,0
NSW1023,CONISTON,10092,Wollongong,1,Good,Good,0
NSW1024,CONJOLA,10076,South Coast,1,Good,Good,0
NSW1025,CONJOLA PARK,10076,South Coast,1,Good,Good,0
NSW1026,CONNELLS POINT,10062,Oatley,1,Acceptable,Good,0
NSW1027,CONSTITUTION HILL,10074,Seven Hills,1,Acceptable,Good,0
NSW1028,COOGEE,10021,Coogee,1,Good,Good,0
NSW1029,COOKAMIDGERA,10063,Orange,1,Good,Good,0
NSW103,ASQUITH,10037,Hornsby,1,Acceptable,Good,0
NSW1030,COOKARDINIA,10001,Albury,1,Good,Good,0
NSW1031,COOKS GAP,10085,Upper Hunter,1,Good,Good,0
NSW1032,COOKS HILL,10058,Newcastle,1,Good,Good,0
NSW1033,COOKS MYALLS,10063,Orange,1,Good,Good,0
NSW1034,COOLABAH,10006,Barwon,1,Good,Good,0
NSW1035,COOLAC,10022,Cootamundra,1,Good,Good,0
NSW1036,COOLAGOLITE,10009,Bega,1,Good,Good,0
NSW1037,COOLAH,10006,Barwon,1,Good,Good,0
NSW1038,COOLAMON,10022,Cootamundra,1,Good,Good,0
NSW1039,COOLANGATTA,10039,Kiama,1,Good,Good,0
NSW104,ATHOLWOOD,10061,Northern Tablelands,1,Good,Good,0
NSW1040,COOLANGUBRA,10009,Bega,1,Good,Good,0
NSW1041,COOLATAI,10061,Northern Tablelands,1,Good,Good,0
NSW1043,COOLEMAN,10087,Wagga Wagga,1,Good,Good,0
NSW1044,COOLEYS CREEK,10087,Wagga Wagga,1,Good,Good,0
NSW1045,COOLGARDIE,10003,Ballina,1,Good,Good,0
NSW1046,COOLONGOLOOK,10057,Myall Lakes,1,Good,Good,0
NSW1047,COOLRINGDON,10053,Monaro,1,Good,Good,0
NSW1048,COOLUMBOOKA,10053,Monaro,1,Good,Good,0
NSW1049,COOLUMBURRA,10076,South Coast,1,Good,Good,0
NSW105,ATTUNGA,10081,Tamworth,1,Good,Good,0
NSW1050,COOMA,10053,Monaro,1,Good,Good,0
NSW1051,COOMBA BAY,10057,Myall Lakes,1,Good,Good,0
NSW1052,COOMBA PARK,10057,Myall Lakes,1,Good,Good,0
NSW1053,COOMBADJHA,10019,Clarence,0.9999994,Good,Good,0
NSW1053,COOMBADJHA,10061,Northern Tablelands,6e-07,Good,Good,1
NSW1054,COOMBELL,10019,Clarence,1,Good,Good,0
NSW1055,COOMOO COOMOO,10085,Upper Hunter,1,Good,Good,0
NSW1056,COONABARABRAN,10006,Barwon,1,Good,Good,0
NSW1057,COONAMBLE,10006,Barwon,1,Good,Good,0
NSW1058,COONGBAR,10019,Clarence,1,Good,Good,0
NSW1059,COOPERABUNG,10064,Oxley,1,Good,Good,0
NSW106,AUBURN,10002,Auburn,1,Good,Good,0
NSW1060,COOPERNOOK,10068,Port Macquarie,1,Good,Good,0
NSW1061,COOPERS GULLY,10009,Bega,1,Good,Good,0
NSW1062,COOPERS SHOOT,10003,Ballina,1,Good,Good,0
NSW1063,COOPLACURRIPA,10057,Myall Lakes,1,Good,Good,0
NSW1064,COORABELL,10003,Ballina,1,Good,Good,0
NSW1065,COORANBONG,10042,Lake Macquarie,1,Good,Good,0
NSW1066,COOTAMUNDRA,10022,Cootamundra,1,Good,Good,0
NSW1067,COOTRALANTRA,10053,Monaro,1,Good,Good,0
NSW1068,COOYAL,10026,Dubbo,1,Good,Good,0
NSW1069,COPACABANA,10082,Terrigal,1,Good,Good,0
NSW107,AUBURN VALE,10061,Northern Tablelands,1,Good,Good,0
NSW1070,COPE,10026,Dubbo,0.740113,Good,Good,0
NSW1070,COPE,10085,Upper Hunter,0.259887,Good,Good,0
NSW1071,COPELAND,10085,Upper Hunter,1,Good,Good,0
NSW1072,COPETON,10061,Northern Tablelands,1,Good,Good,0
NSW1073,COPMANHURST,10019,Clarence,1,Good,Good,0
NSW1074,COPPABELLA,10001,Albury,1,Good,Good,0
NSW1075,COPPERHANNIA,10007,Bathurst,1,Good,Good,0
NSW1076,CORAKI,10019,Clarence,0.9636842,Good,Good,0
NSW1076,CORAKI,10045,Lismore,0.0363158,Good,Good,0
NSW1077,CORALVILLE,10068,Port Macquarie,1,Good,Good,0
NSW1078,CORAMBA,10020,Coffs Harbour,1,Good,Good,0
