DZN_CODE_2011,DZN_CODE_2011,LGA_CODE_2018,LGA_CODE_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
110958715,110958715,17950,17950,1,Acceptable,Good,0
110958716,110958716,10950,10950,0.9924417,Good,Good,0
110958716,110958716,11200,11200,0.0061839,Acceptable,Good,1
110958716,110958716,14600,14600,0.0013744,Good,Good,1
110968704,110968704,11200,11200,0.1913702,Acceptable,Good,0
110968704,110968704,17900,17900,0.8086298,Good,Good,0
110968705,110968705,17900,17900,1,Good,Good,0
110968706,110968706,12150,12150,0.0066812,Good,Good,1
110968706,110968706,17900,17900,0.9772866,Good,Good,0
110968706,110968706,17950,17950,0.0160323,Acceptable,Good,0
110968707,110968707,17900,17900,1,Good,Good,0
110968708,110968708,17900,17900,1,Good,Good,0
110978691,110978691,11250,11250,1,Good,Good,0
110988688,110988688,11700,11700,0.7411441,Poor,Good,0
110988688,110988688,19399,19399,0.2588559,Poor,Good,0
110998746,110998746,18020,18020,1,Good,Good,0
110998747,110998747,12150,12150,0.0127309,Good,Good,0
110998747,110998747,18020,18020,0.9872691,Good,Good,0
110998748,110998748,18020,18020,1,Good,Good,0
110998749,110998749,18020,18020,1,Good,Good,0
110998750,110998750,18020,18020,1,Good,Good,0
110998751,110998751,18020,18020,1,Good,Good,0
111008742,111008742,12390,12390,1,Good,Good,0
111008743,111008743,12390,12390,1,Good,Good,0
111018733,111018733,12390,12390,1,Good,Good,0
111018734,111018734,12390,12390,1,Good,Good,0
111028729,111028729,12390,12390,1,Good,Good,0
111028730,111028730,12390,12390,1,Good,Good,0
111038737,111038737,12390,12390,1,Good,Good,0
111038738,111038738,12390,12390,1,Good,Good,0
111038739,111038739,11400,11400,0.0549071,Good,Good,0
111038739,111038739,12390,12390,0.9450929,Good,Good,0
111048724,111048724,12950,12950,0.8875118,Good,Good,0
111048724,111048724,17950,17950,0.1124882,Acceptable,Good,0
111048725,111048725,12950,12950,1,Good,Good,0
111048726,111048726,12950,12950,1,Good,Good,0
111058719,111058719,15850,15850,0.9617139,Good,Good,0
111058719,111058719,17950,17950,0.0382861,Acceptable,Good,0
111058720,111058720,15850,15850,1,Good,Good,0
111058721,111058721,15850,15850,1,Good,Good,0
111068754,111068754,12390,12390,1,Good,Good,0
111068755,111068755,11400,11400,1,Good,Good,0
111068756,111068756,12390,12390,1,Good,Good,0
111068757,111068757,11400,11400,0.0042338,Good,Good,1
111068757,111068757,12390,12390,0.9957662,Good,Good,0
111068758,111068758,12390,12390,0.9999991,Good,Good,0
111068758,111068758,15270,15270,9e-07,Good,Good,1
111077020,111077020,11720,11720,1,Good,Good,0
111077021,111077021,11720,11720,1,Good,Good,0
111077022,111077022,17000,17000,1,Good,Good,0
111077023,111077023,11720,11720,0.9413214,Good,Good,0
111077023,111077023,15050,15050,0.0586786,Good,Good,0
111077024,111077024,11720,11720,0.9907678,Good,Good,0
111077024,111077024,17000,17000,0.0092322,Good,Good,1
111087054,111087054,11720,11720,1,Good,Good,0
111087055,111087055,11720,11720,1,Good,Good,0
111087056,111087056,11720,11720,1,Good,Good,0
111087057,111087057,11720,11720,1,Good,Good,0
111087058,111087058,11720,11720,1,Good,Good,0
111087059,111087059,11720,11720,1,Good,Good,0
111087060,111087060,11720,11720,1,Good,Good,0
111087061,111087061,11720,11720,1,Good,Good,0
111087062,111087062,11720,11720,1,Good,Good,0
111097037,111097037,11720,11720,1,Good,Good,0
111097038,111097038,11720,11720,1,Good,Good,0
111097039,111097039,11720,11720,1,Good,Good,0
111097040,111097040,11720,11720,1,Good,Good,0
111097041,111097041,11720,11720,1,Good,Good,0
111108028,111108028,12700,12700,1,Good,Good,0
111108029,111108029,12700,12700,1,Good,Good,0
111108030,111108030,12700,12700,1,Good,Good,0
111108031,111108031,12700,12700,1,Good,Good,0
111108032,111108032,12700,12700,1,Good,Good,0
111117075,111117075,11720,11720,1,Good,Good,0
111117076,111117076,11720,11720,1,Good,Good,0
111117077,111117077,11720,11720,1,Good,Good,0
111117078,111117078,11720,11720,1,Good,Good,0
111117079,111117079,11720,11720,0.9919177,Good,Good,0
111117079,111117079,15050,15050,0.0080823,Good,Good,1
111117080,111117080,11720,11720,1,Good,Good,0
111117081,111117081,11720,11720,1,Good,Good,0
111117082,111117082,11720,11720,1,Good,Good,0
111128024,111128024,17000,17000,1,Good,Good,0
111128025,111128025,17000,17000,1,Good,Good,0
111138020,111138020,17000,17000,1,Good,Good,0
111138021,111138021,17000,17000,1,Good,Good,0
111147129,111147129,15050,15050,1,Good,Good,0
