SA3_CODE_2016,SA3_NAME_2016,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
40601,Eyre Peninsula and South West,404,Grey,1,Good,Acceptable,0
40602,Outback - North and East,404,Grey,1,Good,Acceptable,0
40701,Fleurieu - Kangaroo Island,408,Mayo,1,Acceptable,Acceptable,0
40702,Limestone Coast,402,Barker,1,Good,Acceptable,0
40703,Murray and Mallee,402,Barker,1,Good,Acceptable,0
50101,Augusta - Margaret River - Busselton,507,Forrest,1,Acceptable,Acceptable,0
50102,Bunbury,503,Canning,0.0403077,Acceptable,Acceptable,0
50102,Bunbury,507,Forrest,0.8738959,Acceptable,Acceptable,0
50102,Bunbury,511,O'Connor,0.0857964,Good,Acceptable,0
50103,Manjimup,507,Forrest,0.3152098,Acceptable,Acceptable,0
50103,Manjimup,511,O'Connor,0.6847902,Good,Acceptable,0
50201,Mandurah,503,Canning,1,Acceptable,Acceptable,0
50301,Cottesloe - Claremont,505,Curtin,1,Poor,Acceptable,0
50302,Perth City,505,Curtin,0.3372186,Poor,Acceptable,0
50302,Perth City,513,Perth,0.6627814,Acceptable,Acceptable,0
50401,Bayswater - Bassendean,513,Perth,0.9890007,Acceptable,Acceptable,0
50401,Bayswater - Bassendean,514,Stirling,0.0109993,Acceptable,Acceptable,0
50402,Mundaring,509,Hasluck,1,Poor,Acceptable,0
50403,Swan,504,Cowan,0.2982172,Poor,Acceptable,0
50403,Swan,509,Hasluck,0.2583828,Poor,Acceptable,0
50403,Swan,512,Pearce,0.443361,Poor,Acceptable,0
50403,Swan,515,Swan,3.89e-05,Acceptable,Acceptable,1
50501,Joondalup,504,Cowan,0.0933737,Poor,Acceptable,0
50501,Joondalup,510,Moore,0.9066263,Good,Acceptable,0
50502,Stirling,505,Curtin,0.2140442,Poor,Acceptable,0
50502,Stirling,513,Perth,0.0218049,Acceptable,Acceptable,0
50502,Stirling,514,Stirling,0.7641508,Acceptable,Acceptable,0
50503,Wanneroo,504,Cowan,0.5040691,Poor,Acceptable,0
50503,Wanneroo,512,Pearce,0.4959309,Poor,Acceptable,0
50601,Armadale,502,Burt,0.8490919,Acceptable,Acceptable,0
50601,Armadale,503,Canning,0.1509081,Acceptable,Acceptable,0
50602,Belmont - Victoria Park,515,Swan,1,Acceptable,Acceptable,0
50603,Canning,502,Burt,0.106628,Acceptable,Acceptable,0
50603,Canning,515,Swan,0.4072846,Acceptable,Acceptable,0
50603,Canning,516,Tangney,0.4860873,Acceptable,Acceptable,0
50604,Gosnells,502,Burt,0.772506,Acceptable,Acceptable,0
50604,Gosnells,503,Canning,0.0192866,Acceptable,Acceptable,0
50604,Gosnells,509,Hasluck,0.2082074,Poor,Acceptable,0
50605,Kalamunda,503,Canning,0.0241781,Acceptable,Acceptable,0
50605,Kalamunda,509,Hasluck,0.7615063,Poor,Acceptable,0
50605,Kalamunda,515,Swan,0.2143155,Acceptable,Acceptable,0
50606,Serpentine - Jarrahdale,503,Canning,1,Acceptable,Acceptable,0
50607,South Perth,515,Swan,1,Acceptable,Acceptable,0
50701,Cockburn,508,Fremantle,1,Good,Acceptable,0
50702,Fremantle,508,Fremantle,1,Good,Acceptable,0
50703,Kwinana,501,Brand,1,Good,Acceptable,0
50704,Melville,508,Fremantle,0.1006916,Good,Acceptable,0
50704,Melville,516,Tangney,0.8993084,Acceptable,Acceptable,0
50705,Rockingham,501,Brand,1,Good,Acceptable,0
50901,Albany,511,O'Connor,1,Good,Acceptable,0
50902,Wheat Belt - North,506,Durack,0.4351715,Good,Acceptable,0
50902,Wheat Belt - North,512,Pearce,0.5648285,Poor,Acceptable,0
50903,Wheat Belt - South,503,Canning,0.1278147,Acceptable,Acceptable,0
50903,Wheat Belt - South,511,O'Connor,0.8721853,Good,Acceptable,0
51001,Kimberley,506,Durack,1,Good,Acceptable,0
51002,East Pilbara,506,Durack,1,Good,Acceptable,0
51003,West Pilbara,506,Durack,1,Good,Acceptable,0
51101,Esperance,511,O'Connor,1,Good,Acceptable,0
51102,Gascoyne,506,Durack,1,Good,Acceptable,0
51103,Goldfields,511,O'Connor,1,Good,Acceptable,0
51104,Mid West,506,Durack,1,Good,Acceptable,0
60101,Brighton,604,Franklin,0.032455,Good,Acceptable,0
60101,Brighton,605,Lyons,0.967545,Poor,Acceptable,0
60102,Hobart - North East,604,Franklin,1,Good,Acceptable,0
60103,Hobart - North West,603,Clark,0.8636971,Acceptable,Acceptable,0
60103,Hobart - North West,605,Lyons,0.1363029,Poor,Acceptable,0
60104,Hobart - South and West,603,Clark,0.187139,Acceptable,Acceptable,0
60104,Hobart - South and West,604,Franklin,0.812861,Good,Acceptable,0
60105,Hobart Inner,603,Clark,1,Acceptable,Acceptable,0
60106,Sorell - Dodges Ferry,605,Lyons,1,Poor,Acceptable,0
60201,Launceston,601,Bass,0.920688,Acceptable,Acceptable,0
60201,Launceston,605,Lyons,0.079312,Poor,Acceptable,0
60202,Meander Valley - West Tamar,601,Bass,0.4228251,Acceptable,Acceptable,0
60202,Meander Valley - West Tamar,605,Lyons,0.5771749,Poor,Acceptable,0
60203,North East,601,Bass,0.4937467,Acceptable,Acceptable,0
60203,North East,605,Lyons,0.5062533,Poor,Acceptable,0
60301,Central Highlands (Tas.),605,Lyons,1,Poor,Acceptable,0
60302,Huon - Bruny Island,604,Franklin,1,Good,Acceptable,0
60303,South East Coast,605,Lyons,1,Poor,Acceptable,0
60401,Burnie - Ulverstone,602,Braddon,1,Good,Acceptable,0
60402,Devonport,602,Braddon,0.8609265,Good,Acceptable,0
60402,Devonport,605,Lyons,0.1390735,Poor,Acceptable,0
60403,West Coast,602,Braddon,1,Good,Acceptable,0
70101,Darwin City,702,Solomon,1,Good,Acceptable,0
70102,Darwin Suburbs,701,Lingiari,0.0076616,Good,Acceptable,1
70102,Darwin Suburbs,702,Solomon,0.9923384,Good,Acceptable,0
70103,Litchfield,701,Lingiari,1,Good,Acceptable,0
70104,Palmerston,701,Lingiari,0.1368577,Good,Acceptable,0
70104,Palmerston,702,Solomon,0.8631423,Good,Acceptable,0
70201,Alice Springs,701,Lingiari,1,Good,Acceptable,0
70202,Barkly,701,Lingiari,1,Good,Acceptable,0
70203,Daly - Tiwi - West Arnhem,701,Lingiari,1,Good,Acceptable,0
70204,East Arnhem,701,Lingiari,1,Good,Acceptable,0
70205,Katherine,701,Lingiari,1,Good,Acceptable,0
80101,Belconnen,802,Canberra,0.3245521,Acceptable,Acceptable,0
80101,Belconnen,803,Fenner,0.6754479,Acceptable,Acceptable,0
80103,Canberra East,801,Bean,0.5037878,Good,Acceptable,0
80103,Canberra East,802,Canberra,0.4962122,Acceptable,Acceptable,0
80104,Gungahlin,803,Fenner,1,Acceptable,Acceptable,0
80105,North Canberra,802,Canberra,1,Acceptable,Acceptable,0
80106,South Canberra,802,Canberra,1,Acceptable,Acceptable,0
80107,Tuggeranong,801,Bean,1,Good,Acceptable,0
80108,Weston Creek,801,Bean,0.9998695,Good,Acceptable,0
80108,Weston Creek,802,Canberra,0.0001305,Acceptable,Acceptable,1
80109,Woden Valley,801,Bean,0.5730828,Good,Acceptable,0
80109,Woden Valley,802,Canberra,0.4269172,Acceptable,Acceptable,0
80110,Molonglo,801,Bean,1,Good,Acceptable,0
80111,Urriarra - Namadgi,801,Bean,1,Good,Acceptable,0
90101,Christmas Island,701,Lingiari,1,Good,Acceptable,0
90102,Cocos (Keeling) Islands,701,Lingiari,1,Good,Acceptable,0
90103,Jervis Bay,803,Fenner,1,Acceptable,Acceptable,0
90104,Norfolk Island,801,Bean,1,Good,Acceptable,0
